phase,z,pitch,vx,vz,w
0.01000,0.252313,0.005470,2.593384,-0.070599,1.863762
0.03000,0.251695,0.012883,2.597768,-0.227813,1.836700
0.05000,0.250447,0.019989,2.593519,-0.335426,1.774542
0.07000,0.248739,0.026685,2.582405,-0.394667,1.657366
0.09000,0.247765,0.032164,2.572121,-0.406912,1.545404
0.11000,0.246362,0.037156,2.556982,-0.378576,1.354594
0.13000,0.244899,0.041734,2.540590,-0.302633,1.117597
0.15000,0.244033,0.045325,2.523544,-0.197064,0.888458
0.17000,0.243769,0.048371,2.516968,-0.061711,0.610975
0.19000,0.243556,0.049979,2.513834,0.086000,0.293437
0.21000,0.244233,0.050064,2.503931,0.246421,-0.090040
0.23000,0.245437,0.048934,2.503227,0.387148,-0.435642
0.25000,0.247202,0.046632,2.505575,0.487324,-0.710066
0.27000,0.248917,0.044119,2.515042,0.547561,-0.899429
0.29000,0.250867,0.041012,2.523505,0.572892,-1.033696
0.31000,0.252910,0.036602,2.522732,0.570625,-1.146591
0.33000,0.255028,0.032362,2.529252,0.545925,-1.212055
0.35000,0.256900,0.027528,2.523000,0.488416,-1.242055
0.37000,0.258697,0.023565,2.515175,0.406018,-1.246330
0.39000,0.259669,0.018595,2.511697,0.333366,-1.277576
0.41000,0.260944,0.014565,2.494981,0.230909,-1.295985
0.43000,0.261533,0.009652,2.480139,0.109760,-1.330101
0.45000,0.261926,0.004593,2.465592,-0.028139,-1.362116
0.47000,0.261032,-0.000972,2.454680,-0.202830,-1.418690
0.49000,0.260373,-0.005324,2.456225,-0.357884,-1.547026
0.51000,0.258857,-0.010884,2.459902,-0.502432,-1.751590
0.53000,0.256335,-0.018838,2.463755,-0.657798,-1.940010
0.55000,0.254156,-0.025641,2.468135,-0.773599,-2.030947
0.57000,0.250988,-0.032702,2.467046,-0.843584,-2.006538
0.59000,0.247999,-0.040113,2.468578,-0.869761,-1.899158
0.61000,0.244777,-0.046744,2.455457,-0.857011,-1.676503
0.63000,0.241796,-0.051537,2.448505,-0.809715,-1.435308
0.65000,0.238917,-0.057040,2.441630,-0.709830,-1.119568
0.67000,0.236607,-0.060013,2.436777,-0.589973,-0.794205
0.69000,0.234847,-0.062643,2.429351,-0.445575,-0.474121
0.71000,0.233507,-0.063204,2.424570,-0.290356,-0.157440
0.73000,0.232909,-0.063549,2.426709,-0.108626,0.175072
0.75000,0.232641,-0.062187,2.427516,0.053800,0.441046
0.77000,0.233212,-0.060269,2.436300,0.208028,0.666482
0.79000,0.234322,-0.057665,2.452020,0.348256,0.893137
0.81000,0.235675,-0.053990,2.458502,0.462520,1.069978
0.83000,0.237429,-0.049609,2.472057,0.558307,1.236991
0.85000,0.239852,-0.044900,2.480959,0.632157,1.403328
0.87000,0.241917,-0.039142,2.496744,0.662621,1.545172
0.89000,0.244523,-0.034097,2.515359,0.666983,1.679674
0.91000,0.246884,-0.027867,2.522296,0.632245,1.806932
0.93000,0.249099,-0.020858,2.534681,0.552580,1.885888
0.95000,0.251010,-0.013499,2.552587,0.420846,1.958124
0.97000,0.252029,-0.005855,2.574141,0.231187,1.925384
0.99000,0.252508,-0.000138,2.590558,0.071187,1.887371
