group,command,steps,achieved,dcm,cop,ankle,degraded,selfcol,openloop,fell_t,survived
forward,vx=+0.020,40,vx: +0.0196 / +0.0200 m/s (98%)   vy: -0.0015 m/s (drift),5.6,1.00,70,5,0,0,,SURVIVED
forward,vx=+0.036,40,vx: +0.0353 / +0.0360 m/s (98%)   vy: -0.0015 m/s (drift),5.6,1.00,77,20,0,0,,SURVIVED
forward,vx=+0.055,40,vx: +0.0540 / +0.0550 m/s (98%)   vy: -0.0015 m/s (drift),5.6,1.00,77,31,0,0,,SURVIVED
forward,vx=+0.073,40,vx: +0.0715 / +0.0730 m/s (98%)   vy: -0.0015 m/s (drift),5.6,1.00,76,66,0,0,,SURVIVED
forward,vx=+0.091,40,vx: +0.0890 / +0.0910 m/s (98%)   vy: -0.0015 m/s (drift),11.4,1.00,89,116,0,0,,SURVIVED
forward,vx=+0.109,16,vx: +0.1276 / +0.1090 m/s (117%)   vy: +0.0178 m/s (drift)   wz: -0.0651 rad/s (drift),167.0,1.00,172,102,5,0,10.365,FELL
forward,vx=+0.145,9,vx: +0.2038 / +0.1450 m/s (141%)   vy: -0.0923 m/s (drift)   wz: +0.8063 rad/s (drift),126.0,1.01,205,63,0,0,6.560,FELL
backward,vx=-0.036,40,vx: -0.0351 / -0.0360 m/s (97%)   vy: -0.0014 m/s (drift),5.6,1.00,69,12,0,0,,SURVIVED
backward,vx=-0.073,40,vx: -0.0712 / -0.0730 m/s (97%)   vy: -0.0015 m/s (drift),5.6,1.00,77,15,0,0,,SURVIVED
backward,vx=-0.091,40,vx: -0.0887 / -0.0910 m/s (97%)   vy: -0.0014 m/s (drift),5.6,1.00,71,20,0,0,,SURVIVED
backward,vx=-0.109,24,vx: -0.1028 / -0.1090 m/s (94%)   vy: +0.0221 m/s (drift)   wz: +0.1129 rad/s (drift),264.4,1.01,202,116,12,0,14.990,FELL
lateral,vy=+0.018,40,vy: +0.0161 / +0.0180 m/s (89%),5.6,1.00,76,6,0,0,,SURVIVED
lateral,vy=-0.018,40,vy: -0.0191 / -0.0180 m/s (106%),5.6,1.00,73,12,0,0,,SURVIVED
lateral,vy=+0.036,40,vy: +0.0336 / +0.0360 m/s (93%),15.1,1.00,72,16,0,0,,SURVIVED
lateral,vy=-0.036,40,vy: -0.0366 / -0.0360 m/s (102%),9.6,1.00,73,12,0,0,,SURVIVED
