t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0500,-0.00080,0.00000,0.46222,1.00000,0.00000,-0.00188,-0.00000,0.00836,0.00000,0.30106,0.30051,0.00387,0.00005,2,0.03476,-0.00010,0.00012,-0.54832,1.10495,-0.55306,0.00004,0.00010,-0.00016,-0.54832,1.10495,-0.55306,0.00007,0.00002,-0.00012,0.00002,-0.00012,-0.00016,-0.00207,-0.04708,-1.37438,-0.00199,0.01099,0.00016,0.00599,-0.04703,-1.37448,-0.00197,0.00661,-0.00812,-0.00001,-0.00812,-0.00001,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0550,-0.00078,0.00000,0.46225,1.00000,0.00000,-0.00183,-0.00000,0.00836,0.00000,0.30109,0.30051,0.00376,0.00006,2,0.03477,-0.00010,0.00012,-0.54829,1.10460,-0.55284,0.00004,0.00010,-0.00017,-0.54829,1.10460,-0.55284,0.00010,-0.00001,-0.00009,-0.00001,-0.00009,-0.00015,-0.00173,-0.03849,-1.36247,0.01556,0.01224,0.00016,0.00615,-0.03844,-1.36258,0.01559,0.00780,-0.00715,-0.00000,-0.00715,-0.00000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0600,-0.00076,0.00001,0.46228,1.00000,0.00000,-0.00177,-0.00000,0.00837,0.00000,0.30112,0.30051,0.00365,0.00007,2,0.03478,-0.00010,0.00011,-0.54827,1.10424,-0.55262,0.00004,0.00010,-0.00018,-0.54827,1.10425,-0.55262,0.00014,-0.00004,-0.00007,-0.00004,-0.00007,-0.00014,-0.00140,-0.03137,-1.35245,0.03008,0.01347,0.00015,0.00633,-0.03131,-1.35258,0.03011,0.00900,-0.00636,0.00000,-0.00636,0.00000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0650,-0.00074,0.00001,0.46231,1.00000,0.00000,-0.00171,-0.00000,0.00837,0.00000,0.30114,0.30051,0.00354,0.00008,2,0.03479,-0.00010,0.00010,-0.54824,1.10389,-0.55239,0.00005,0.00010,-0.00019,-0.54824,1.10389,-0.55239,0.00017,-0.00007,-0.00006,-0.00007,-0.00006,-0.00013,-0.00109,-0.02544,-1.34399,0.04208,0.01469,0.00014,0.00651,-0.02538,-1.34414,0.04211,0.01019,-0.00569,-0.00000,-0.00569,-0.00000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0700,-0.00072,0.00001,0.46234,1.00000,0.00000,-0.00165,-0.00000,0.00838,0.00001,0.30117,0.30051,0.00342,0.00009,2,0.03480,-0.00010,0.00009,-0.54822,1.10355,-0.55217,0.00006,0.00010,-0.00020,-0.54822,1.10355,-0.55217,0.00021,-0.00011,-0.00004,-0.00011,-0.00004,-0.00013,-0.00079,-0.02050,-1.33684,0.05199,0.01588,0.00014,0.00670,-0.02043,-1.33699,0.05203,0.01136,-0.00513,-0.00001,-0.00513,-0.00001,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0750,-0.00070,0.00001,0.46236,1.00000,0.00000,-0.00159,-0.00000,0.00839,0.00001,0.30119,0.30051,0.00330,0.00011,2,0.03480,-0.00010,0.00008,-0.54820,1.10321,-0.55194,0.00008,0.00010,-0.00022,-0.54820,1.10321,-0.55194,0.00024,-0.00015,-0.00002,-0.00015,-0.00002,-0.00012,-0.00051,-0.01639,-1.33077,0.06016,0.01705,0.00014,0.00689,-0.01631,-1.33094,0.06020,0.01251,-0.00466,-0.00001,-0.00466,-0.00001,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0800,-0.00067,0.00002,0.46238,1.00000,0.00000,-0.00153,-0.00000,0.00840,0.00001,0.30121,0.30051,0.00318,0.00012,2,0.03481,-0.00010,0.00006,-0.54819,1.10288,-0.55172,0.00010,0.00011,-0.00023,-0.54819,1.10288,-0.55172,0.00028,-0.00020,-0.00001,-0.00020,-0.00001,-0.00012,-0.00024,-0.01295,-1.32562,0.06689,0.01818,0.00013,0.00707,-0.01288,-1.32580,0.06693,0.01363,-0.00425,-0.00002,-0.00425,-0.00002,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0850,-0.00065,0.00002,0.46240,1.00000,0.00000,-0.00147,-0.00000,0.00841,0.00001,0.30123,0.30051,0.00306,0.00014,2,0.03481,-0.00010,0.00005,-0.54817,1.10256,-0.55151,0.00013,0.00011,-0.00025,-0.54818,1.10257,-0.55151,0.00031,-0.00024,-0.00000,-0.00024,-0.00000,-0.00011,0.00002,-0.01009,-1.32124,0.07241,0.01927,0.00013,0.00726,-0.01000,-1.32143,0.07246,0.01472,-0.00391,-0.00003,-0.00391,-0.00003,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0900,-0.00063,0.00003,0.46242,1.00000,0.00000,-0.00141,-0.00000,0.00842,0.00001,0.30124,0.30051,0.00293,0.00016,2,0.03481,-0.00010,0.00003,-0.54817,1.10226,-0.55130,0.00016,0.00011,-0.00027,-0.54817,1.10226,-0.55131,0.00035,-0.00029,0.00001,-0.00029,0.00001,-0.00011,0.00026,-0.00770,-1.31750,0.07694,0.02032,0.00013,0.00744,-0.00761,-1.31771,0.07698,0.01577,-0.00361,-0.00005,-0.00361,-0.00005,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0950,-0.00060,0.00003,0.46244,1.00000,0.00000,-0.00135,-0.00000,0.00843,0.00002,0.30126,0.30051,0.00281,0.00017,2,0.03482,-0.00010,0.00001,-0.54816,1.10196,-0.55111,0.00019,0.00011,-0.00029,-0.54817,1.10197,-0.55111,0.00039,-0.00034,0.00002,-0.00034,0.00002,-0.00011,0.00048,-0.00570,-1.31433,0.08062,0.02133,0.00013,0.00762,-0.00561,-1.31454,0.08067,0.01678,-0.00335,-0.00006,-0.00335,-0.00006,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
