rev,vy,first_swing,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived
v6fixed,+0.018,1,40,90,0.476,0.002,5.4,1.00,66,12,0,0.0,,6.338,SURVIVED
v6fixed,-0.018,0,40,90,0.476,0.002,5.4,1.00,65,9,0,0.0,,6.338,SURVIVED
v6fixed,-0.018,1,40,105,0.476,0.002,5.4,1.00,64,2,0,0.0,,6.338,SURVIVED
v6fixed,+0.022,0,40,104,0.476,0.002,5.4,1.00,63,15,0,0.0,,6.338,SURVIVED
v6fixed,+0.022,1,40,91,0.476,0.002,5.4,1.00,64,14,0,0.0,,6.338,SURVIVED
v6fixed,-0.022,0,40,91,0.476,0.002,5.4,1.00,67,12,0,0.0,,6.338,SURVIVED
v6fixed,-0.022,1,40,104,0.476,0.002,5.4,1.00,63,6,0,0.0,,6.338,SURVIVED
v6fixed,+0.026,0,40,103,0.476,0.003,7.2,1.00,69,33,0,0.0,,6.338,SURVIVED
v6fixed,+0.026,1,40,92,0.476,0.007,6.7,1.00,67,21,0,0.0,,6.338,SURVIVED
v6fixed,-0.026,0,40,92,0.476,0.007,6.8,1.00,64,4,0,0.0,,6.338,SURVIVED
v6fixed,-0.026,1,40,103,0.476,0.002,6.5,1.00,68,5,0,0.0,,6.338,SURVIVED
v6fixed,+0.030,0,40,102,0.476,0.004,7.5,1.00,64,35,0,0.0,,6.338,SURVIVED
v6fixed,+0.030,1,40,93,0.476,0.010,13.1,1.00,66,20,0,0.0,,6.338,SURVIVED
v6fixed,+0.045,1,8,-532,0.427,0.528,233.7,1.01,204,43,33,228.6,5.970,6.338,FELL
v6fixed,-0.030,0,40,93,0.476,0.009,8.1,1.00,66,10,0,0.0,,6.338,SURVIVED
v6fixed,-0.030,1,40,102,0.476,0.008,13.3,1.00,66,5,0,0.0,,6.338,SURVIVED
v6fixed,-0.045,0,15,108,0.439,0.529,47.3,1.00,181,16,0,0.0,10.015,6.338,FELL
v6fixed,+0.036,0,40,101,0.476,0.008,12.6,1.00,63,28,0,0.0,,6.338,SURVIVED
v6fixed,+0.055,1,8,635,0.418,0.546,290.6,1.01,217,17,20,111.9,6.045,6.338,FELL
v6fixed,+0.036,1,40,94,0.476,0.008,10.5,1.00,63,23,0,0.0,,6.338,SURVIVED
v6fixed,+0.055,0,11,314,0.424,0.554,344.7,1.00,181,18,3,213.4,7.820,6.338,FELL
v6fixed,-0.036,0,40,94,0.476,0.016,10.3,1.00,63,10,0,0.0,,6.338,SURVIVED
v6fixed,-0.036,1,40,101,0.476,0.007,10.0,1.00,64,6,0,0.0,,6.338,SURVIVED
v6fixed,+0.045,0,40,101,0.475,0.014,27.7,1.00,117,19,0,0.0,,6.338,SURVIVED
v6fixed,-0.055,0,8,444,0.397,0.524,191.2,1.00,163,25,5,222.2,5.995,6.338,FELL
v6fixed,-0.055,1,11,269,0.432,0.523,290.6,1.01,207,24,6,0.0,7.845,6.338,FELL
v6fixed,-0.045,1,28,113,0.439,0.522,37.5,1.00,156,24,0,0.0,17.160,6.338,FELL
v6fixed_heavy,+0.018,0,40,105,0.476,0.003,5.0,1.00,62,18,0,0.0,,6.862,SURVIVED
v6fixed_heavy,+0.018,1,40,90,0.476,0.003,5.0,1.00,65,15,0,0.0,,6.862,SURVIVED
v6fixed_heavy,-0.018,0,40,90,0.476,0.003,5.0,1.00,63,12,0,0.0,,6.862,SURVIVED
v6fixed_heavy,-0.018,1,40,105,0.476,0.003,5.0,1.00,64,13,0,0.0,,6.862,SURVIVED
v6fixed_heavy,+0.022,0,40,103,0.476,0.003,5.0,1.00,63,32,0,0.0,,6.862,SURVIVED
v6fixed_heavy,+0.022,1,40,92,0.476,0.003,5.0,1.00,64,21,0,0.0,,6.862,SURVIVED
v6fixed_heavy,-0.022,0,40,92,0.476,0.003,5.0,1.00,64,16,0,0.0,,6.862,SURVIVED
v6fixed_heavy,-0.022,1,40,104,0.476,0.003,5.0,1.00,73,9,0,0.0,,6.862,SURVIVED
v6fixed_heavy,+0.026,0,40,103,0.476,0.003,5.0,1.00,64,11,0,0.0,,6.862,SURVIVED
v6fixed_heavy,+0.026,1,40,93,0.476,0.003,5.0,1.00,62,22,0,0.0,,6.862,SURVIVED
v6fixed_heavy,-0.026,0,40,93,0.476,0.003,5.0,1.00,63,11,0,0.0,,6.862,SURVIVED
v6fixed_heavy,-0.026,1,40,103,0.476,0.003,5.0,1.00,65,7,0,0.0,,6.862,SURVIVED
v6fixed_heavy,+0.030,0,40,102,0.476,0.003,5.5,1.00,64,34,0,0.0,,6.862,SURVIVED
v6fixed_heavy,+0.030,1,40,93,0.476,0.006,5.5,1.00,63,30,0,0.0,,6.862,SURVIVED
v6fixed_heavy,-0.030,0,40,93,0.476,0.007,5.5,1.00,63,11,0,0.0,,6.862,SURVIVED
v6fixed_heavy,-0.030,1,40,102,0.476,0.003,5.5,1.00,63,11,0,0.0,,6.862,SURVIVED
v6fixed_heavy,-0.045,0,27,33,0.401,0.549,392.5,1.00,204,60,22,268.4,16.440,6.862,FELL
