rev,vy,first_swing,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived
v4_light,+0.018,1,40,90,0.475,0.002,5.7,1.00,65,4,0,0.0,,5.834,SURVIVED
v4_light,-0.018,0,40,90,0.475,0.002,5.7,1.00,66,4,0,0.0,,5.834,SURVIVED
v4_light,-0.018,1,40,106,0.475,0.002,5.7,1.00,67,6,0,0.0,,5.834,SURVIVED
v4_light,+0.022,0,40,104,0.475,0.010,6.9,1.00,64,9,0,0.0,,5.834,SURVIVED
v4_light,+0.022,1,40,91,0.475,0.009,7.4,1.00,63,9,0,0.0,,5.834,SURVIVED
v4_light,-0.022,0,40,91,0.475,0.009,6.8,1.00,66,6,0,0.0,,5.834,SURVIVED
v4_light,-0.022,1,40,104,0.475,0.010,6.9,1.00,67,2,0,0.0,,5.834,SURVIVED
v4_light,+0.026,0,40,103,0.475,0.013,12.9,1.00,65,9,0,0.0,,5.834,SURVIVED
v4_light,+0.026,1,40,92,0.475,0.013,12.9,1.00,64,8,0,0.0,,5.834,SURVIVED
v4_light,-0.026,0,40,92,0.475,0.010,12.9,1.01,66,6,0,0.0,,5.834,SURVIVED
v4_light,-0.026,1,40,103,0.475,0.013,12.9,1.01,64,6,0,0.0,,5.834,SURVIVED
v4_light,+0.030,0,40,102,0.475,0.012,8.7,1.00,65,14,0,0.0,,5.834,SURVIVED
v4_light,+0.030,1,40,93,0.475,0.007,8.6,1.00,67,7,0,0.0,,5.834,SURVIVED
v4_light,-0.030,0,40,93,0.475,0.007,8.6,1.00,69,4,0,0.0,,5.834,SURVIVED
v4_light,-0.030,1,40,102,0.475,0.007,13.1,1.00,65,7,0,0.0,,5.834,SURVIVED
v4_light,+0.036,1,15,112,0.440,0.521,27.1,1.00,131,5,0,0.0,9.990,5.834,FELL
v4_light,-0.045,0,14,216,0.418,0.528,231.1,1.00,176,16,0,0.0,9.550,5.834,FELL
v4_light,+0.045,0,19,146,0.392,0.529,323.2,1.01,188,44,34,168.3,12.410,5.834,FELL
v4_light,+0.055,0,7,306,0.413,0.530,128.4,1.00,171,24,0,0.0,5.845,5.834,FELL
v4_light,-0.045,1,20,206,0.411,0.522,355.5,1.01,188,38,0,0.0,12.720,5.834,FELL
v4_light,+0.055,1,9,128,0.448,0.522,130.5,1.01,146,34,0,0.0,6.905,5.834,FELL
v4_light,-0.055,0,9,-44,0.420,0.534,123.3,1.01,126,11,7,12.3,6.440,5.834,FELL
v4_light,+0.045,1,32,139,0.419,0.536,320.8,1.01,175,13,6,199.8,19.330,5.834,FELL
v4_light,+0.036,0,40,101,0.457,0.028,30.2,1.01,112,16,0,0.0,,5.834,SURVIVED
v4_light,-0.055,1,7,464,0.438,0.523,132.7,1.00,193,25,0,0.0,5.795,5.834,FELL
v4_light,-0.036,0,40,93,0.457,0.024,27.4,1.01,112,7,0,0.0,,5.834,SURVIVED
v4_light,-0.036,1,40,101,0.466,0.011,26.3,1.01,68,12,0,0.0,,5.834,SURVIVED
v5only,+0.018,0,40,106,0.475,0.002,5.7,1.00,63,5,0,0.0,,5.834,SURVIVED
v5only,+0.018,1,40,90,0.475,0.002,5.7,1.00,65,7,0,0.0,,5.834,SURVIVED
v5only,-0.018,0,40,90,0.475,0.002,5.7,1.00,64,8,0,0.0,,5.834,SURVIVED
v5only,-0.018,1,40,106,0.475,0.002,5.7,1.00,65,4,0,0.0,,5.834,SURVIVED
v5only,+0.022,0,40,104,0.475,0.010,6.9,1.00,66,19,0,0.0,,5.834,SURVIVED
v5only,+0.022,1,40,91,0.475,0.010,6.9,1.00,64,13,0,0.0,,5.834,SURVIVED
v5only,-0.022,0,40,91,0.475,0.009,6.9,1.00,65,9,0,0.0,,5.834,SURVIVED
