rev,vy,first_swing,SOLE_HALF_W,ARM_HOLD,ARM_HOLD_JOINTS,KP_ARM,KD_ARM,ARM_PITCH,ELBOW,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived,cond
v7,-0.036,0,,,,,,,,25,131,0.384,0.540,316.3,1.01,182,45,144,57.7,15.355,5.418,FELL,v7 as-is
v7,+0.036,1,,,,,,,,30,121,0.429,0.528,90.3,1.01,165,46,146,111.1,18.330,5.418,FELL,v7 as-is
v7,+0.045,0,,,,,,,,17,140,0.422,0.547,116.8,1.01,202,7,172,334.0,11.040,5.418,FELL,v7 as-is
v7,+0.026,1,,,,,,,,40,92,0.475,0.006,6.3,1.00,67,18,345,6.8,,5.418,SURVIVED,v7 as-is
v7,+0.026,0,,,,,,,,40,104,0.475,0.006,6.2,1.00,68,21,386,7.8,,5.418,SURVIVED,v7 as-is
v7,-0.026,0,,,,,,,,40,92,0.475,0.006,6.2,1.00,65,26,384,7.8,,5.418,SURVIVED,v7 as-is
v7,-0.026,1,,,,,,,,40,104,0.475,0.006,6.3,1.00,70,21,402,7.5,,5.418,SURVIVED,v7 as-is
v7,-0.045,0,,,,,,,,12,280,0.372,0.535,252.2,1.00,153,47,33,162.0,8.145,5.418,FELL,v7 as-is
v7,-0.045,1,,,,,,,,9,422,0.391,0.531,178.4,1.00,193,26,58,148.0,6.510,5.418,FELL,v7 as-is
v7,+0.045,1,,,,,,,,16,111,0.432,0.541,210.5,1.01,172,5,98,126.6,10.440,5.418,FELL,v7 as-is
v7,+0.065,0,,,,,,,,6,0,0.424,0.527,31.7,1.01,137,4,61,6.1,5.005,5.418,FELL,v7 as-is
v7,-0.055,0,,,,,,,,7,-876,0.419,0.532,276.4,1.01,180,17,26,58.3,5.845,5.418,FELL,v7 as-is
v7,-0.055,1,,,,,,,,9,484,0.393,0.522,195.7,1.01,203,23,74,192.6,6.480,5.418,FELL,v7 as-is
v7,+0.065,1,,,,,,,,6,0,0.398,0.589,104.4,1.00,208,26,108,71.3,4.975,5.418,FELL,v7 as-is
v7,+0.055,1,,,,,,,,11,-89,0.406,0.539,268.0,1.01,184,37,121,179.7,7.600,5.418,FELL,v7 as-is
v7,-0.065,0,,,,,,,,6,-0,0.431,0.545,70.3,1.00,188,9,114,43.6,4.960,5.418,FELL,v7 as-is
v7,-0.065,1,,,,,,,,6,-0,0.424,0.523,28.4,1.01,134,3,58,6.6,5.015,5.418,FELL,v7 as-is
v7,+0.055,0,,,,,,,,21,150,0.408,0.545,212.5,1.01,175,8,233,257.9,13.150,5.418,FELL,v7 as-is
