t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_pitch_joint,tau_left_hip_roll_joint,tau_left_hip_yaw_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_pitch_joint,tau_right_hip_roll_joint,tau_right_hip_yaw_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_pitch_joint,lim_left_hip_roll_joint,lim_left_hip_yaw_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_pitch_joint,lim_right_hip_roll_joint,lim_right_hip_yaw_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0100,-0.00013,0.00000,0.75219,1.00000,-0.00000,-0.00094,-0.00000,0.03509,0.00008,0.68470,0.68452,0.00188,0.00007,2,0.03436,0.00188,0,0.08500,0.03000,0.0951,0.0953,-0.005987,0.118132,6.3463,-0.1156,148.6197,8.7960,-0.1538,154.1031,6.3444,0.0777,148.4049,8.7946,0.1195,153.8893,-0.034100,-0.000444,148.6171,-0.037308,-0.000399,154.1031,-0.034138,0.000598,148.4024,-0.037349,0.000553,153.8893,-0.32324,0.00004,-0.00002,0.70510,-0.38040,-0.00001,-0.32323,-0.00003,0.00001,0.70510,-0.38039,0.00001,0.00113,0.00111,0.00113,0.00111,-0.34686,-0.20073,0.10835,-13.15562,0.34666,0.07000,-0.35275,0.19826,-0.10595,-13.13802,0.34079,-0.09141,-1.36776,-0.99908,-1.36769,-0.99908,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0110,-0.00013,0.00000,0.75220,1.00000,-0.00000,-0.00094,-0.00000,0.03508,0.00008,0.68471,0.68452,0.00188,0.00007,2,0.03437,0.00188,0,0.08500,0.03000,0.0873,0.0874,-0.002979,0.118125,5.7142,-0.1149,149.5520,8.1215,-0.1530,155.0411,5.7123,0.0794,149.3377,8.1200,0.1207,154.8278,-0.031198,-0.000451,149.5497,-0.034299,-0.000406,155.0411,-0.031231,0.000592,149.3354,-0.034335,0.000548,154.8278,-0.32325,0.00004,-0.00002,0.70512,-0.38040,-0.00001,-0.32325,-0.00003,0.00001,0.70512,-0.38040,0.00001,0.00110,0.00110,0.00110,0.00110,-0.25383,-0.20206,0.10779,-13.02596,0.74874,0.07134,-0.25968,0.19980,-0.10550,-13.00841,0.74287,-0.09108,-1.37413,-1.01000,-1.37405,-1.00999,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0120,-0.00014,0.00000,0.75221,1.00000,-0.00000,-0.00094,-0.00000,0.03508,0.00008,0.68472,0.68452,0.00187,0.00007,2,0.03438,0.00187,1,0.08500,0.03000,0.0802,0.0802,-0.000218,0.118119,-12.4016,89.9109,149.9975,7.4963,-0.1522,155.9081,22.6597,-89.9441,150.0124,7.4949,0.1218,155.6953,-0.028750,-0.001420,150.0002,-0.031537,-0.000412,155.9081,-0.027878,0.001719,150.0002,-0.031570,0.000543,155.6953,-0.32327,0.00004,-0.00002,0.70514,-0.38041,-0.00001,-0.32327,-0.00003,0.00001,0.70514,-0.38041,0.00000,0.00108,0.00110,0.00108,0.00110,-0.25383,-0.20206,0.10779,-13.02596,0.74874,0.07134,-0.25968,0.19980,-0.10550,-13.00841,0.74287,-0.09108,-1.37413,-1.01000,-1.37405,-1.00999,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0130,-0.00014,0.00000,0.75222,1.00000,-0.00000,-0.00093,-0.00000,0.03508,0.00008,0.68473,0.68452,0.00187,0.00007,2,0.03439,0.00187,1,0.08500,0.03000,0.0799,0.0800,-0.000197,0.118119,-11.3963,89.9644,149.9980,7.4709,-0.1512,155.8819,20.4867,-89.9952,150.0118,7.4695,0.1208,155.6690,0.032863,-0.030002,150.0002,-0.031516,-0.000413,155.8819,-0.024884,0.011974,150.0002,-0.031548,0.000543,155.6690,-0.32329,0.00004,-0.00002,0.70517,-0.38042,-0.00001,-0.32329,-0.00003,0.00001,0.70516,-0.38042,0.00000,0.00105,0.00109,0.00105,0.00109,-0.25383,-0.20206,0.10779,-13.02596,0.74874,0.07134,-0.25968,0.19980,-0.10550,-13.00841,0.74287,-0.09108,-1.37413,-1.01000,-1.37405,-1.00999,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0140,-0.00015,0.00000,0.75223,1.00000,-0.00000,-0.00093,-0.00000,0.03507,0.00008,0.68475,0.68452,0.00187,0.00007,2,0.03441,0.00187,1,0.08500,0.03000,0.0797,0.0798,-0.000177,0.118118,-11.3638,89.9665,149.9981,7.4492,-0.1503,155.8658,19.2861,-89.9949,150.0116,7.4478,0.1200,155.6529,0.039549,-0.025429,150.0002,-0.031495,-0.000413,155.8658,-0.014828,0.030002,150.0002,-0.031528,0.000543,155.6529,-0.32332,0.00004,-0.00002,0.70519,-0.38043,-0.00001,-0.32332,-0.00003,0.00001,0.70519,-0.38043,0.00000,0.00102,0.00109,0.00102,0.00109,-0.25383,-0.20206,0.10779,-13.02596,0.74874,0.07134,-0.25968,0.19980,-0.10550,-13.00841,0.74287,-0.09108,-1.37413,-1.01000,-1.37405,-1.00999,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0150,-0.00015,0.00000,0.75224,1.00000,-0.00000,-0.00093,-0.00000,0.03507,0.00008,0.68476,0.68452,0.00186,0.00007,2,0.03442,0.00186,1,0.08500,0.03000,0.0795,0.0796,-0.000159,0.118118,-22.7409,89.9686,149.9934,7.4310,-0.1496,155.8591,29.4942,-89.9947,150.0161,7.4295,0.1192,155.6462,0.061211,-0.018514,150.0002,-0.031476,-0.000413,155.8591,-0.031257,0.030002,150.0002,-0.031508,0.000544,155.6462,-0.32334,0.00004,-0.00002,0.70523,-0.38045,-0.00001,-0.32334,-0.00003,0.00001,0.70522,-0.38044,-0.00000,0.00099,0.00108,0.00099,0.00108,-0.25383,-0.20206,0.10779,-13.02596,0.74874,0.07134,-0.25968,0.19980,-0.10550,-13.00841,0.74287,-0.09108,-1.37413,-1.01000,-1.37405,-1.00999,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0160,-0.00016,-0.00000,0.75224,1.00000,-0.00000,-0.00093,0.00001,0.03507,0.00008,0.68476,0.68452,0.00186,0.00007,2,0.03443,0.00186,0,0.08500,0.03000,0.0793,0.0794,-0.000141,0.118118,-47.3253,89.9708,149.9830,7.4159,-0.1489,155.8613,52.9080,-89.9945,150.0264,7.4144,0.1185,155.6483,0.055401,-0.029755,150.0002,-0.031457,-0.000413,155.8613,-0.085003,0.030002,150.0002,-0.031490,0.000544,155.6483,-0.32342,0.00007,0.00006,0.70533,-0.38042,0.00005,-0.32337,0.00004,0.00008,0.70528,-0.38057,-0.00005,0.00096,0.00108,0.00097,0.00108,-21.70391,-42.84858,31.86430,-17.62270,10.94255,1.31407,22.39970,48.41897,-21.60425,-5.49439,-4.85004,-1.35035,-1.28522,-1.00930,-1.28518,-1.00928,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0170,-0.00016,-0.00001,0.75225,1.00000,-0.00001,-0.00092,0.00004,0.03507,0.00008,0.68477,0.68452,0.00185,0.00007,2,0.03445,0.00185,1,0.08500,0.03000,0.5974,0.6805,0.050305,0.102933,-86.6406,88.0789,149.9750,-20.6730,75.1709,217.5176,89.9341,-89.9807,150.0518,49.2555,-52.1517,175.6828,0.065611,0.002633,150.0002,0.018988,-0.015590,217.5176,-0.085003,-0.030002,150.0002,-0.067748,0.015915,175.6828,-0.32355,0.00013,0.00020,0.70552,-0.38036,0.00016,-0.32340,0.00018,0.00022,0.70537,-0.38081,-0.00013,0.00093,0.00108,0.00094,0.00109,-21.70391,-42.84858,31.86430,-17.62270,10.94255,1.31407,22.39970,48.41897,-21.60425,-5.49439,-4.85004,-1.35035,-1.28522,-1.00930,-1.28518,-1.00928,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0180,-0.00017,-0.00001,0.75226,1.00000,-0.00002,-0.00091,0.00006,0.03507,0.00008,0.68479,0.68452,0.00184,0.00007,2,0.03447,0.00184,0,0.08500,0.03000,0.6028,0.6836,0.050488,0.102959,0.5812,-1.1803,148.8458,-21.1960,75.4902,216.7832,0.4254,-2.5764,149.2736,49.5750,-52.7952,176.5827,-0.017311,-0.002169,148.8459,0.019169,-0.015548,216.7832,-0.013843,-0.009934,149.2730,-0.067253,0.015890,176.5827,-0.32367,0.00018,0.00034,0.70568,-0.38031,0.00025,-0.32343,0.00032,0.00034,0.70545,-0.38103,-0.00020,0.00089,0.00108,0.00092,0.00109,0.69717,2.53457,0.53107,-12.47457,2.54432,0.39571,-0.45860,0.47716,1.38931,-12.37021,3.07472,1.53544,-2.23190,-1.11733,-0.82692,-1.07623,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
0.0190,-0.00017,-0.00001,0.75227,1.00000,-0.00002,-0.00091,0.00008,0.03507,0.00008,0.68480,0.68452,0.00183,0.00007,2,0.03449,0.00183,1,0.08500,0.03000,0.0181,0.0470,0.013719,0.116144,-89.2252,86.5320,150.0080,1.5304,-0.6352,152.5967,89.9261,-89.9301,150.0865,2.5256,-3.5490,154.4086,0.048910,0.016635,150.0002,-0.017594,-0.002330,152.5967,-0.085003,-0.029993,150.0002,-0.015473,-0.008789,154.4086,-0.32377,0.00024,0.00047,0.70584,-0.38027,0.00034,-0.32346,0.00044,0.00047,0.70553,-0.38122,-0.00026,0.00085,0.00108,0.00089,0.00109,0.69717,2.53457,0.53107,-12.47457,2.54432,0.39571,-0.45860,0.47716,1.38931,-12.37021,3.07472,1.53544,-2.23190,-1.11733,-0.82692,-1.07623,88.000,88.000,88.000,139.000,35.000,35.000,88.000,88.000,88.000,139.000,35.000,35.000,25.000,25.000,25.000,25.000
