tick,t,FR_hip_joint_q,FR_hip_joint_dq,FR_thigh_joint_q,FR_thigh_joint_dq,FR_calf_joint_q,FR_calf_joint_dq,FL_hip_joint_q,FL_hip_joint_dq,FL_thigh_joint_q,FL_thigh_joint_dq,FL_calf_joint_q,FL_calf_joint_dq,RR_hip_joint_q,RR_hip_joint_dq,RR_thigh_joint_q,RR_thigh_joint_dq,RR_calf_joint_q,RR_calf_joint_dq,RL_hip_joint_q,RL_hip_joint_dq,RL_thigh_joint_q,RL_thigh_joint_dq,RL_calf_joint_q,RL_calf_joint_dq,root_x,root_y,root_z,root_qw,root_qx,root_qy,root_qz,root_vx,root_vy,root_vz,root_wx,root_wy,root_wz
5214,10.4280,-0.006101,0.040204,1.093025,-11.707680,-2.209119,2.279866,0.005386,-0.018924,1.093047,-11.698930,-2.209122,2.287767,-0.018272,-0.342880,0.952166,6.990534,-2.032176,-0.103476,0.018809,0.306408,0.943518,6.633449,-2.039237,0.172028,14.83213,0.01777,0.24309,0.999456,-0.003383,-0.032260,-0.006033,1.86301,-0.02688,0.09185,0.26126,0.64552,0.22363
5215,10.4300,-0.005993,0.053891,1.069186,-11.919600,-2.202026,3.546045,0.005321,-0.032221,1.069223,-11.912124,-2.202019,3.551042,-0.018854,-0.290913,0.966120,6.977075,-2.031762,0.207038,0.019316,0.253533,0.956766,6.623917,-2.038247,0.495284,14.83586,0.01771,0.24333,0.999482,-0.003114,-0.031494,-0.005815,1.86777,-0.02730,0.11827,0.26605,0.76506,0.22371
5216,10.4320,-0.005854,0.069477,1.045024,-12.080952,-2.192543,4.741668,0.005226,-0.047606,1.045075,-12.073761,-2.192531,4.744204,-0.019325,-0.235468,0.980058,6.968978,-2.030732,0.515077,0.019712,0.197667,0.970012,6.622911,-2.036629,0.808915,14.83961,0.01766,0.24362,0.999511,-0.002843,-0.030617,-0.005598,1.87309,-0.02765,0.14276,0.26917,0.87650,0.22315
5217,10.4340,-0.005681,0.086748,1.020628,-12.197981,-2.180855,5.844144,0.005096,-0.064957,1.020694,-12.190340,-2.180842,5.844670,-0.019680,-0.177266,0.993992,6.966998,-2.029094,0.819064,0.019991,0.139778,0.983273,6.630323,-2.034405,1.112022,14.84337,0.01760,0.24395,0.999543,-0.002571,-0.029636,-0.005382,1.87894,-0.02797,0.16502,0.27080,0.98034,0.22206
5218,10.4360,-0.005471,0.104968,0.996074,-12.276764,-2.167190,6.832592,0.004929,-0.083641,0.996158,-12.268199,-2.167179,6.831549,-0.019915,-0.117563,1.007951,6.979496,-2.026862,1.115876,0.020154,0.081238,0.996583,6.655191,-2.031601,1.401707,14.84714,0.01754,0.24431,0.999576,-0.002300,-0.028559,-0.005166,1.88527,-0.02824,0.18478,0.27112,1.07712,0.22055
5219,10.4380,-0.005224,0.123593,0.971430,-12.322436,-2.151812,7.688654,0.004723,-0.103102,0.971533,-12.312662,-2.151806,7.686475,-0.020030,-0.057501,1.021974,7.011079,-2.024053,1.404481,0.020200,0.023147,1.009984,6.700701,-2.028245,1.678081,14.85092,0.01749,0.24472,0.999610,-0.002029,-0.027390,-0.004953,1.89197,-0.02848,0.20184,0.27039,1.16842,0.21876
5220,10.4400,-0.004745,0.239266,0.946608,-12.410816,-2.135489,8.161710,0.007039,1.158027,0.946612,-12.460375,-2.135639,8.083338,-0.020906,-0.438047,1.035090,6.558433,-2.019388,2.332553,0.019476,-0.361772,1.022940,6.477602,-2.023763,2.241337,14.85472,0.01743,0.24515,0.999646,-0.001761,-0.026134,-0.004741,1.89894,-0.02870,0.21606,0.26882,1.25565,0.21676
5221,10.4420,-0.004381,0.181926,0.921837,-12.385625,-2.117694,8.897609,0.008083,0.522312,0.921832,-12.389841,-2.118149,8.744760,-0.021345,-0.219692,1.048727,6.818343,-2.014655,2.366220,0.018771,-0.352441,1.036197,6.628908,-2.018885,2.438918,14.85854,0.01738,0.24563,0.999686,-0.001494,-0.024588,-0.004626,1.90868,-0.02700,0.23947,0.27111,1.54509,0.11897
5222,10.4440,-0.004022,0.179595,0.897177,-12.329642,-2.099009,9.342461,0.008332,0.124435,0.897190,-12.320964,-2.099717,9.216319,-0.021411,-0.032722,1.062785,7.029041,-2.009737,2.459343,0.018101,-0.335163,1.049746,6.774402,-2.013621,2.631982,14.86237,0.01732,0.24613,0.999724,-0.001185,-0.023025,-0.004477,1.91601,-0.02730,0.24821,0.31235,1.56218,0.15491
5223,10.4460,-0.003633,0.194370,0.872669,-12.254063,-2.079892,9.558426,0.008081,-0.125581,0.872703,-12.243845,-2.080754,9.481382,-0.021169,0.121033,1.077199,7.207112,-2.004538,2.599357,0.017457,-0.321917,1.063580,6.916898,-2.007970,2.825459,14.86622,0.01727,0.24663,0.999761,-0.000862,-0.021430,-0.004304,1.92338,-0.02796,0.25261,0.32588,1.59483,0.17867
5224,10.4480,-0.003210,0.211798,0.848344,-12.162660,-2.060751,9.570282,0.007519,-0.281078,0.848395,-12.153971,-2.061678,9.537821,-0.020678,0.245198,1.091929,7.364761,-1.998986,2.776162,0.016823,-0.317383,1.077698,7.059131,-2.001925,3.022649,14.87008,0.01721,0.24714,0.999796,-0.000540,-0.019791,-0.004115,1.93079,-0.02862,0.25303,0.32558,1.63803,0.19421
5225,10.4500,-0.002756,0.226893,0.824231,-12.056580,-2.041974,9.388759,0.006769,-0.374899,0.824296,-12.049467,-2.042899,9.389492,-0.019988,0.345146,1.106951,7.511042,-1.993023,2.981352,0.016177,-0.322839,1.092106,7.203654,-1.995474,3.225501,14.87395,0.01715,0.24764,0.999828,-0.000224,-0.018102,-0.003917,1.93820,-0.02918,0.24966,0.31876,1.68812,0.20398
5226,10.4520,-0.002279,0.238312,0.800358,-11.936355,-2.023933,9.020567,0.005913,-0.427846,0.800436,-11.929959,-2.024813,9.043331,-0.019136,0.426072,1.122255,7.652194,-1.986609,3.206780,0.015501,-0.337908,1.106811,7.352501,-1.988605,3.434300,14.87784,0.01709,0.24812,0.999859,0.000082,-0.016359,-0.003712,1.94553,-0.02960,0.24255,0.30933,1.74228,0.20962
5227,10.4540,-0.001787,0.245936,0.776753,-11.802801,-2.006987,8.472709,0.005006,-0.453388,0.776844,-11.796172,-2.007796,8.508603,-0.018151,0.492412,1.137840,7.792297,-1.979720,3.444890,0.014779,-0.361125,1.121825,7.507128,-1.981312,3.646613,14.88175,0.01703,0.24859,0.999888,0.000379,-0.014560,-0.003505,1.95270,-0.02989,0.23175,0.29935,1.79820,0.21227
5228,10.4560,-0.001288,0.249911,0.753437,-11.657564,-1.991479,7.754292,0.004086,-0.460339,0.753544,-11.649875,-1.992202,7.796884,-0.017053,0.549011,1.153710,7.934898,-1.972347,3.686561,0.013997,-0.390713,1.137161,7.668192,-1.973593,3.859220,14.88567,0.01697,0.24902,0.999914,0.000665,-0.012705,-0.003297,1.95961,-0.03009,0.21726,0.28991,1.85398,0.21279
5229,10.4580,-0.000707,0.290212,0.731333,-11.052389,-1.977914,6.782271,0.003098,-0.493981,0.731448,-11.048112,-1.978545,6.828523,-0.015897,0.577918,1.169962,8.125997,-1.964531,3.907635,0.013184,-0.406787,1.152921,7.880066,-1.965493,4.050034,14.88960,0.01691,0.24942,0.999937,0.000943,-0.010796,-0.003090,1.96615,-0.03020,0.19914,0.28158,1.90822,0.21170
5230,10.4600,0.000093,0.400074,0.712437,-9.447576,-1.967426,5.244138,0.001915,-0.591517,0.712558,-9.444828,-1.967964,5.290260,-0.014621,0.638250,1.186949,8.493731,-1.956861,3.834987,0.012255,-0.464498,1.169474,8.276195,-1.957614,3.939587,14.89356,0.01685,0.24977,0.999956,0.001214,-0.008865,-0.002886,1.97709,-0.03028,0.17564,0.27443,1.92925,0.20950
5231,10.4620,0.001016,0.461627,0.697496,-7.470588,-1.959882,3.771720,0.000676,-0.619413,0.697638,-7.459834,-1.960329,3.817726,-0.013275,0.672981,1.204285,8.667940,-1.949760,3.550862,0.011179,-0.537670,1.187063,8.794882,-1.950603,3.505658,14.89755,0.01679,0.25005,0.999971,0.001478,-0.006995,-0.002684,1.99673,-0.03036,0.13954,0.26825,1.86913,0.20638
5232,10.4640,0.001899,0.441583,0.686639,-5.428880,-1.954857,2.512707,-0.000447,-0.561414,0.686815,-5.411517,-1.955220,2.554166,-0.011925,0.674786,1.221136,8.425249,-1.943677,3.041255,0.010016,-0.581905,1.205036,8.986184,-1.944741,2.930987,14.90158,0.01673,0.25025,0.999982,0.001730,-0.005220,-0.002495,2.01768,-0.03007,0.09897,0.25551,1.77407,0.19357
5233,10.4660,0.002601,0.350693,0.679723,-3.457840,-1.951885,1.486137,-0.001350,-0.451492,0.679925,-3.445214,-1.952158,1.531062,-0.010590,0.667481,1.237008,7.936065,-1.939322,2.177551,0.008863,-0.576434,1.222457,8.710406,-1.940490,2.125438,14.90565,0.01667,0.25036,0.999989,0.001967,-0.003516,-0.002320,2.03485,-0.02969,0.05912,0.24004,1.70325,0.17875
5234,10.4680,0.003046,0.222693,0.676314,-1.704258,-1.950506,0.689540,-0.001978,-0.314310,0.676551,-1.687083,-1.950689,0.734755,-0.009298,0.646270,1.251594,7.292972,-1.937207,1.057254,0.007767,-0.547845,1.238763,8.153010,-1.938346,1.072164,14.90975,0.01661,0.25041,0.999994,0.002194,-0.001849,-0.002154,2.04751,-0.02948,0.02217,0.23011,1.66635,0.17078
5235,10.4700,0.003217,0.085368,0.675920,-0.197106,-1.950381,0.062253,-0.002326,-0.173881,0.676199,-0.175902,-1.950428,0.130223,-0.008076,0.610661,1.264769,6.587435,-1.937639,-0.215599,0.006754,-0.506455,1.253664,7.450463,-1.938649,-0.151459,14.91386,0.01655,0.25039,0.999995,0.002414,-0.000190,-0.001991,2.05521,-0.02932,-0.01158,0.22371,1.65761,0.16643
5236,10.4720,0.003128,-0.044460,0.678130,1.104972,-1.951289,-0.453751,-0.002418,-0.046002,0.678466,1.133789,-1.951125,-0.348173,-0.006952,0.562040,1.276494,5.862579,-1.940749,-1.555343,0.005847,-0.453438,1.267044,6.690370,-1.941581,-1.466178,14.91798,0.01649,0.25030,0.999994,0.002630,0.001479,-0.001831,2.05867,-0.02912,-0.04225,0.21905,1.66828,0.16418
5237,10.4740,0.002810,-0.159042,0.682592,2.230828,-1.953074,-0.892864,-0.002292,0.062937,0.683012,2.272886,-1.952610,-0.742448,-0.005946,0.503314,1.286781,5.143815,-1.946545,-2.897894,0.005064,-0.391488,1.278873,5.914490,-1.947183,-2.801070,14.92210,0.01644,0.25016,0.999990,0.002842,0.003167,-0.001672,2.05915,-0.02888,-0.07018,0.21480,1.68753,0.16334
