rev,vy,first_swing,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived
v2base,-0.045,0,40,95,0.476,0.012,10.1,1.00,64,31,0,0.0,,6.630,SURVIVED
v2base,-0.045,1,40,101,0.476,0.010,10.2,1.00,64,26,0,0.0,,6.630,SURVIVED
v2base,+0.055,1,8,158,0.431,0.547,156.1,1.00,186,24,16,265.8,6.195,6.630,FELL
v2base,+0.055,0,10,130,0.451,0.534,61.1,1.01,113,18,0,0.0,7.360,6.630,FELL
v2base,-0.055,0,12,184,0.446,0.545,202.1,1.00,178,22,0,0.0,8.175,6.630,FELL
v2base,-0.055,1,17,130,0.435,0.535,164.2,1.01,206,35,20,155.0,11.180,6.630,FELL
v2knee,+0.018,0,40,105,0.476,0.003,5.5,1.00,65,11,0,0.0,,6.902,SURVIVED
v2knee,-0.018,1,40,105,0.476,0.003,5.5,1.00,68,5,0,0.0,,6.902,SURVIVED
v2knee,+0.018,1,40,90,0.476,0.003,5.5,1.00,65,13,0,0.0,,6.902,SURVIVED
v2knee,-0.018,0,40,90,0.476,0.003,5.5,1.00,66,13,0,0.0,,6.902,SURVIVED
v2knee,+0.022,0,40,104,0.476,0.003,5.5,1.00,66,10,0,0.0,,6.902,SURVIVED
v2knee,+0.022,1,40,91,0.476,0.003,5.5,1.00,66,12,0,0.0,,6.902,SURVIVED
v2knee,-0.022,0,40,91,0.476,0.003,5.5,1.00,66,15,0,0.0,,6.902,SURVIVED
v2knee,-0.022,1,40,104,0.476,0.003,5.5,1.00,66,12,0,0.0,,6.902,SURVIVED
v2knee,+0.026,0,40,103,0.476,0.003,5.5,1.00,66,19,0,0.0,,6.902,SURVIVED
v2knee,+0.026,1,40,92,0.476,0.003,5.5,1.00,65,14,0,0.0,,6.902,SURVIVED
v2knee,-0.026,1,40,103,0.476,0.003,5.5,1.00,66,16,0,0.0,,6.902,SURVIVED
v2knee,-0.026,0,40,92,0.476,0.003,5.5,1.00,66,16,0,0.0,,6.902,SURVIVED
v2knee,+0.030,0,40,102,0.476,0.007,7.1,1.00,71,16,0,0.0,,6.902,SURVIVED
v2knee,+0.030,1,40,93,0.476,0.009,7.0,1.00,66,18,0,0.0,,6.902,SURVIVED
v2knee,-0.030,0,40,93,0.476,0.009,7.6,1.00,65,18,0,0.0,,6.902,SURVIVED
v2knee,-0.030,1,40,102,0.476,0.007,7.0,1.00,71,16,0,0.0,,6.902,SURVIVED
v2knee,-0.045,0,7,87,0.453,0.522,54.0,1.00,116,13,0,0.0,5.695,6.902,FELL
v2knee,+0.055,0,8,252,0.443,0.537,119.0,1.01,179,16,7,130.3,6.105,6.902,FELL
v2knee,+0.036,0,40,101,0.476,0.012,8.6,1.00,70,16,0,0.0,,6.902,SURVIVED
v2knee,+0.036,1,40,94,0.476,0.013,7.5,1.00,65,15,0,0.0,,6.902,SURVIVED
v2knee,-0.036,1,40,101,0.476,0.012,8.9,1.00,66,17,0,0.0,,6.902,SURVIVED
v2knee,-0.036,0,40,94,0.476,0.013,8.6,1.00,65,18,0,0.0,,6.902,SURVIVED
v2knee,+0.045,0,40,101,0.475,0.013,22.5,1.01,91,28,0,0.0,,6.902,SURVIVED
v2knee,+0.045,1,40,94,0.462,0.022,28.9,1.01,111,21,0,0.0,,6.902,SURVIVED
v2knee,-0.055,1,10,437,0.403,0.532,340.1,1.01,183,34,7,18.5,7.125,6.902,FELL
v2knee,+0.055,1,23,111,0.436,0.531,64.8,1.01,181,37,4,42.9,14.225,6.902,FELL
v2knee,-0.055,0,12,213,0.437,0.533,292.6,1.00,202,21,8,141.8,8.250,6.902,FELL
v2knee,-0.045,1,40,101,0.462,0.025,27.4,1.01,109,27,0,0.0,,6.902,SURVIVED
v3,+0.018,0,40,105,0.476,0.003,5.3,1.00,65,8,0,0.0,,6.222,SURVIVED
v3,+0.018,1,40,90,0.476,0.003,5.3,1.00,71,8,0,0.0,,6.222,SURVIVED
v3,-0.018,0,40,90,0.476,0.003,5.3,1.00,64,11,0,0.0,,6.222,SURVIVED
v3,-0.018,1,40,105,0.476,0.003,5.3,1.00,63,12,0,0.0,,6.222,SURVIVED
v3,+0.022,0,40,104,0.476,0.003,5.3,1.00,64,12,0,0.0,,6.222,SURVIVED
