t_s,phase,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,quat_w,quat_x,quat_y,quat_z,imu_temp,power_v,power_a,foot0,foot1,foot2,foot3,FR_hip_cmd,FR_hip_q,FR_hip_dq,FR_hip_tau,FR_thigh_cmd,FR_thigh_q,FR_thigh_dq,FR_thigh_tau,FR_calf_cmd,FR_calf_q,FR_calf_dq,FR_calf_tau,FL_hip_cmd,FL_hip_q,FL_hip_dq,FL_hip_tau,FL_thigh_cmd,FL_thigh_q,FL_thigh_dq,FL_thigh_tau,FL_calf_cmd,FL_calf_q,FL_calf_dq,FL_calf_tau,RR_hip_cmd,RR_hip_q,RR_hip_dq,RR_hip_tau,RR_thigh_cmd,RR_thigh_q,RR_thigh_dq,RR_thigh_tau,RR_calf_cmd,RR_calf_q,RR_calf_dq,RR_calf_tau,RL_hip_cmd,RL_hip_q,RL_hip_dq,RL_hip_tau,RL_thigh_cmd,RL_thigh_q,RL_thigh_dq,RL_thigh_tau,RL_calf_cmd,RL_calf_q,RL_calf_dq,RL_calf_tau
0.0000,B,-0.01063,-0.00132,-2.19283,-0.00426,0.03515,-0.04155,-0.39983,-0.01556,9.52533,-0.456777,0.003014,-0.004428,0.889565,79,30.297,17.330,101,15,29,15,0.00000,-0.00643,0.07751,6.5062,0.61018,0.61150,-0.32554,3.7850,-1.21323,-1.23397,0.83105,10.2416,0.00000,0.00185,-0.07751,-1.9296,0.61018,0.61332,-0.29454,1.3606,-1.21323,-1.22949,0.70770,6.4959,0.00000,-0.01606,0.21315,14.8182,0.61018,0.61525,-0.40305,0.0495,-1.21323,-1.22800,0.83307,3.8406,0.00000,0.02336,-0.17827,-21.8439,0.61018,0.61755,-0.34105,-2.4986,-1.21323,-1.23119,0.81689,7.2545
0.0020,B,-0.01064,-0.00121,-2.19289,-0.00426,0.06498,-0.03196,-0.39983,-0.01556,9.52533,-0.456750,0.002969,-0.004457,0.889579,79,30.297,17.535,101,15,29,15,0.00000,-0.00649,-0.05038,6.6051,0.61018,0.61089,-0.36430,3.3397,-1.21323,-1.23154,0.79869,9.5778,0.00000,0.00195,0.10076,-2.2017,0.61018,0.61286,-0.31004,0.6927,-1.21323,-1.22729,0.66726,5.8795,0.00000,-0.01570,0.15502,14.9667,0.61018,0.61473,-0.32554,-0.1732,-1.21323,-1.22674,0.79263,4.3148,0.00000,0.02305,-0.20153,-21.9429,0.61018,0.61697,-0.32554,-2.8449,-1.21323,-1.22999,0.86138,6.2114
0.0040,B,-0.01065,-0.00107,-2.19296,-0.02450,0.06285,-0.03409,-0.48961,-0.17358,9.22007,-0.456723,0.002910,-0.004493,0.889593,79,30.288,17.604,101,15,29,15,0.00000,-0.00643,0.03876,6.6051,0.61018,0.60983,-0.41856,3.8097,-1.21323,-1.23034,0.73803,9.7675,0.00000,0.00188,0.05038,-1.9296,0.61018,0.61183,-0.33330,0.8658,-1.21323,-1.22612,0.73399,6.2114,0.00000,-0.01548,0.08914,14.9914,0.61018,0.61358,-0.44569,-0.2474,-1.21323,-1.22437,0.77039,4.9786,0.00000,0.02263,-0.17827,-21.8192,0.61018,0.61634,-0.40305,-2.6470,-1.21323,-1.22737,0.79869,6.8278
0.0060,B,-0.01065,-0.00101,-2.19305,-0.00852,0.02983,-0.04368,-0.48961,-0.17358,9.22007,-0.456682,0.002881,-0.004508,0.889614,79,30.297,17.638,101,15,29,15,0.00000,-0.00643,0.03876,6.5556,0.61018,0.60941,-0.34105,3.4881,-1.21323,-1.22786,0.85936,8.8192,0.00000,0.00188,0.04263,-2.1275,0.61018,0.61132,-0.32167,0.9648,-1.21323,-1.22374,0.78050,4.8363,0.00000,-0.01527,0.06976,14.9172,0.61018,0.61292,-0.42631,0.1484,-1.21323,-1.22298,0.83105,3.7932,0.00000,0.02245,-0.13177,-22.0913,0.61018,0.61513,-0.34492,-2.3254,-1.21323,-1.22601,0.77241,7.1123
0.0080,B,-0.01070,-0.00088,-2.19313,-0.03302,0.07137,-0.04155,-0.48961,-0.17358,9.22007,-0.456648,0.002834,-0.004560,0.889631,79,30.128,22.560,101,15,29,15,0.00000,-0.00624,0.25191,8.4852,0.61018,0.60874,-0.38755,3.9581,-1.21323,-1.22645,0.93013,12.3753,0.00000,0.00173,-0.14339,-4.2302,0.61018,0.61086,-0.27516,0.9401,-1.21323,-1.22220,0.98270,7.7761,0.00000,-0.01379,0.50769,15.1151,0.61018,0.61231,-0.36817,0.0000,-1.21323,-1.22145,0.98270,7.3019,0.00000,0.02193,-0.33717,-24.0209,0.61018,0.61467,-0.31779,-3.1665,-1.21323,-1.22478,0.95843,10.2416
0.0100,B,-0.01076,-0.00076,-2.19317,-0.03409,0.05220,-0.02344,-0.47046,-0.00479,9.48822,-0.456629,0.002795,-0.004611,0.889641,79,30.199,19.518,101,15,29,15,0.00000,-0.00552,0.44569,6.4567,0.61018,0.60829,-0.22478,3.7850,-1.21323,-1.22475,1.07369,9.6727,0.00000,0.00082,-0.43406,-1.5585,0.61018,0.61032,-0.25191,1.3606,-1.21323,-1.22051,1.03931,5.4053,0.00000,-0.01321,0.29066,15.7088,0.61018,0.61183,-0.31779,-0.0247,-1.21323,-1.21968,1.08582,4.9786,0.00000,0.02121,-0.39143,-23.2787,0.61018,0.61386,-0.41081,-1.7069,-1.21323,-1.22080,1.22736,5.6424
0.0120,B,-0.01090,-0.00063,-2.19323,-0.06285,0.06711,-0.02557,-0.47046,-0.00479,9.48822,-0.456602,0.002769,-0.004703,0.889655,79,30.199,20.099,101,15,29,15,0.00000,-0.00515,0.21315,7.5204,0.61018,0.60787,-0.20540,4.0571,-1.21323,-1.22303,0.94428,9.0563,0.00000,0.00049,-0.17827,-3.1665,0.61018,0.61002,-0.12402,1.0885,-1.21323,-1.21878,0.95843,4.3148,0.00000,-0.01279,0.25578,15.7583,0.61018,0.61122,-0.15502,0.0495,-1.21323,-1.21780,1.09189,3.5087,0.00000,0.02081,-0.25578,-23.7488,0.61018,0.61361,-0.15502,-2.6717,-1.21323,-1.21906,0.97865,5.4053
0.0140,B,-0.01085,-0.00049,-2.19326,0.00959,0.07883,-0.01917,-0.47645,-0.37948,10.84573,-0.456587,0.002692,-0.004714,0.889662,79,30.226,18.903,101,15,29,15,0.00000,-0.00491,0.07363,7.2731,0.61018,0.60744,-0.26354,4.7003,-1.21323,-1.22176,0.68951,8.8666,0.00000,0.00019,-0.09689,-2.5480,0.61018,0.60962,-0.27904,1.7069,-1.21323,-1.21739,0.74612,4.3148,0.00000,-0.01243,0.13177,15.6593,0.61018,0.61092,-0.17052,0.1484,-1.21323,-1.21636,0.77847,3.5087,0.00000,0.02000,-0.31004,-23.3282,0.61018,0.61307,-0.25191,-1.4843,-1.21323,-1.21772,0.71579,5.5001
0.0160,B,-0.01084,-0.00036,-2.19333,-0.01598,0.02876,-0.04368,-0.47645,-0.37948,10.84573,-0.456559,0.002633,-0.004740,0.889677,79,30.243,18.766,101,16,30,18,0.00000,-0.00473,0.11239,7.2978,0.61018,0.60672,-0.19378,4.7498,-1.21323,-1.22077,0.48124,9.0563,0.00000,0.00004,-0.05038,-2.7707,0.61018,0.60899,-0.11627,2.0038,-1.21323,-1.21641,0.50550,4.5993,0.00000,-0.01215,0.14727,15.8325,0.61018,0.61080,-0.07751,0.0000,-1.21323,-1.21521,0.59852,3.4139,0.00000,0.01969,-0.15115,-23.1798,0.61018,0.61283,-0.12789,-1.7812,-1.21323,-1.21679,0.43271,5.8320
0.0180,B,-0.01079,-0.00036,-2.19339,0.02663,-0.01491,-0.02876,-0.47645,-0.37948,10.84573,-0.456531,0.002623,-0.004715,0.889691,79,30.252,18.424,101,16,30,18,0.00000,-0.00449,0.17052,7.0751,0.61018,0.60647,-0.14339,4.9229,-1.21323,-1.22023,0.35587,9.1985,0.00000,-0.00023,-0.13952,-2.2512,0.61018,0.60871,-0.16277,2.0038,-1.21323,-1.21582,0.40642,4.4096,0.00000,-0.01200,0.08139,15.9315,0.61018,0.61071,-0.07363,-0.0247,-1.21323,-1.21383,0.38216,3.4139,0.00000,0.01942,-0.18603,-23.2292,0.61018,0.61222,-0.03488,-1.5833,-1.21323,-1.21608,0.35385,5.7846
0.0200,B,-0.01080,-0.00031,-2.19346,-0.01065,0.04581,-0.03409,-0.15682,-0.20470,9.09916,-0.456501,0.002602,-0.004733,0.889707,79,30.270,18.151,101,16,30,18,0.00000,-0.00443,0.03100,7.2978,0.61018,0.60632,-0.11239,4.6013,-1.21323,-1.21974,0.23860,9.2459,0.00000,-0.00033,0.00775,-2.6223,0.61018,0.60862,-0.06976,1.7069,-1.21323,-1.21535,0.25680,4.6941,0.00000,-0.01191,0.01938,16.0057,0.61018,0.61059,-0.10851,0.0247,-1.21323,-1.21333,0.29521,3.3191,0.00000,0.01909,-0.23641,-22.6603,0.61018,0.61216,-0.03488,-1.9791,-1.21323,-1.21566,0.29926,5.7846
0.0220,B,-0.01081,-0.00030,-2.19355,0.00213,-0.01278,-0.04155,-0.15682,-0.20470,9.09916,-0.456461,0.002599,-0.004739,0.889727,79,30.279,17.672,101,14,30,18,0.00000,-0.00431,0.06588,7.0009,0.61018,0.60617,-0.06976,4.9229,-1.21323,-1.21903,0.17187,9.0089,0.00000,-0.00045,-0.02713,-2.3254,0.61018,0.60853,-0.03488,1.8059,-1.21323,-1.21475,0.13750,4.8837,0.00000,-0.01179,0.07751,16.0551,0.61018,0.61056,-0.03876,-0.0495,-1.21323,-1.21293,0.21029,3.2242,0.00000,0.01888,-0.29066,-22.4129,0.61018,0.61192,-0.14339,-1.6080,-1.21323,-1.21529,0.18603,5.9743
0.0240,B,-0.01081,-0.00035,-2.19363,-0.02450,-0.02983,-0.04261,-0.11732,0.34716,7.78235,-0.456426,0.002624,-0.004731,0.889745,79,30.297,17.193,101,14,30,14,0.00000,-0.00406,0.12014,6.9267,0.61018,0.60608,-0.08526,4.8240,-1.21323,-1.21873,0.15974,8.6295,0.00000,-0.00063,-0.07363,-2.3996,0.61018,0.60847,-0.03100,1.7812,-1.21323,-1.21451,0.14356,4.8363,0.00000,-0.01152,0.11239,15.5109,0.61018,0.61049,-0.02713,0.0495,-1.21323,-1.21265,0.14761,3.2242,0.00000,0.01854,-0.24803,-22.0665,0.61018,0.61201,0.06201,-2.0285,-1.21323,-1.21470,0.16783,5.7846
0.0260,B,-0.01084,-0.00038,-2.19367,-0.02663,-0.01704,-0.02557,-0.11732,0.34716,7.78235,-0.456405,0.002643,-0.004738,0.889755,79,30.314,16.373,101,14,30,14,0.00000,-0.00397,0.08139,6.7041,0.61018,0.60602,-0.05038,4.9477,-1.21323,-1.21844,0.18603,8.3925,0.00000,-0.00066,0.02713,-2.3007,0.61018,0.60850,0.02713,1.6327,-1.21323,-1.21432,0.09706,4.5993,0.00000,-0.01131,0.09689,14.8924,0.61018,0.61043,-0.03876,0.0000,-1.21323,-1.21246,0.11525,3.3191,0.00000,0.01836,-0.14727,-21.8686,0.61018,0.61186,-0.08139,-1.6080,-1.21323,-1.21448,0.13952,5.5950
0.0280,B,-0.01083,-0.00042,-2.19373,-0.01065,-0.01278,-0.02237,-0.11732,0.34716,7.78235,-0.456379,0.002660,-0.004721,0.889769,79,30.350,15.484,101,14,27,11,0.00000,-0.00382,0.10851,6.4567,0.61018,0.60584,-0.11239,4.9477,-1.21323,-1.21808,0.22444,8.0606,0.00000,-0.00072,0.01163,-2.3254,0.61018,0.60844,0.01163,1.7317,-1.21323,-1.21408,0.09706,4.2199,0.00000,-0.01088,0.19378,14.1503,0.61018,0.61043,0.01163,-0.0247,-1.21323,-1.21232,0.07684,3.4139,0.00000,0.01763,-0.22478,-21.0275,0.61018,0.61183,-0.02713,-2.0038,-1.21323,-1.21426,0.12739,5.4053
0.0300,B,-0.01084,-0.00045,-2.19379,-0.00320,-0.01065,-0.02770,0.23583,-0.38307,7.57765,-0.456354,0.002676,-0.004721,0.889782,79,30.385,14.356,101,14,27,11,0.00000,-0.00376,0.05426,6.5556,0.61018,0.60584,-0.06201,4.7250,-1.21323,-1.21783,0.21636,7.6338,0.00000,-0.00087,-0.09689,-2.0780,0.61018,0.60838,0.01163,1.7317,-1.21323,-1.21385,0.11121,4.0303,0.00000,-0.01037,0.25191,13.2597,0.61018,0.61040,-0.03876,-0.0495,-1.21323,-1.21220,0.02629,3.4613,0.00000,0.01715,-0.31779,-19.9885,0.61018,0.61189,0.06201,-1.8059,-1.21323,-1.21405,0.10110,5.2157
0.0320,B,-0.01079,-0.00047,-2.19386,0.02237,-0.00533,-0.03622,0.23583,-0.38307,7.57765,-0.456325,0.002670,-0.004691,0.889797,79,30.438,13.331,101,14,26,11,0.00000,-0.00361,0.11239,6.3577,0.61018,0.60578,-0.09689,4.8487,-1.21323,-1.21729,0.13547,7.1123,0.00000,-0.00090,-0.01163,-2.1028,0.61018,0.60832,-0.01550,1.7317,-1.21323,-1.21364,0.12739,3.8406,0.00000,-0.00982,0.31779,12.4928,0.61018,0.61040,-0.02713,-0.0495,-1.21323,-1.21216,0.01820,3.4613,0.00000,0.01663,-0.28679,-19.2711,0.61018,0.61183,0.00388,-1.9296,-1.21323,-1.21386,0.08088,5.0260
0.0340,B,-0.01060,-0.00053,-2.19399,0.08948,-0.00746,-0.04261,0.92296,-0.55426,6.94438,-0.456266,0.002652,-0.004594,0.889828,79,30.474,12.203,101,14,26,11,0.00000,-0.00361,0.09689,6.4072,0.61018,0.60584,0.05426,4.7250,-1.21323,-1.21704,0.12941,7.0174,0.00000,-0.00102,-0.04651,-1.9048,0.61018,0.60829,0.02325,2.0038,-1.21323,-1.21341,0.13143,3.6035,0.00000,-0.00934,0.26354,12.2949,0.61018,0.61037,-0.06201,-0.0495,-1.21323,-1.21211,0.03033,3.4613,0.00000,0.01609,-0.32167,-18.7021,0.61018,0.61180,0.05813,-1.6080,-1.21323,-1.21372,0.09099,4.9786
0.0360,B,-0.01051,-0.00055,-2.19403,0.08309,-0.00852,-0.04794,0.92296,-0.55426,6.94438,-0.456245,0.002641,-0.004551,0.889839,79,30.491,11.929,101,15,26,11,0.00000,-0.00352,0.07751,6.4567,0.61018,0.60581,0.03100,4.8982,-1.21323,-1.21704,0.12941,7.0174,0.00000,-0.00117,-0.07751,-1.5833,0.61018,0.60832,0.03488,1.7069,-1.21323,-1.21320,0.08897,3.4613,0.00000,-0.00861,0.28679,11.3549,0.61018,0.61043,0.05426,-0.1237,-1.21323,-1.21208,0.02629,3.3191,0.00000,0.01545,-0.34492,-18.5290,0.61018,0.61180,0.05813,-1.6080,-1.21323,-1.21360,0.04651,4.8363
0.0380,B,-0.01031,-0.00059,-2.19415,0.10972,-0.00959,-0.06605,0.92296,-0.55426,6.94438,-0.456195,0.002613,-0.004452,0.889865,79,30.509,11.485,101,15,26,11,0.00000,-0.00352,0.03100,6.5804,0.61018,0.60581,-0.00388,4.6261,-1.21323,-1.21675,0.10717,6.8278,0.00000,-0.00132,-0.04651,-1.4596,0.61018,0.60829,0.01550,1.8801,-1.21323,-1.21298,0.05864,3.4139,0.00000,-0.00819,0.24028,11.0580,0.61018,0.61034,-0.06201,0.0000,-1.21323,-1.21206,0.03842,3.4139,0.00000,0.01512,-0.12014,-17.9353,0.61018,0.61171,-0.00775,-1.6327,-1.21323,-1.21341,0.03437,4.6941
0.0400,B,-0.01007,-0.00067,-2.19428,0.11079,-0.02557,-0.06924,0.30406,-0.00718,5.04339,-0.456137,0.002594,-0.004331,0.889895,79,30.527,11.075,101,15,27,11,0.00000,-0.00355,0.03876,6.6546,0.61018,0.60581,-0.03488,4.6013,-1.21323,-1.21638,0.12941,6.5907,0.00000,-0.00145,-0.08914,-1.3853,0.61018,0.60841,0.15890,1.5090,-1.21323,-1.21271,0.05662,3.2242,0.00000,-0.00758,0.13177,10.6622,0.61018,0.61037,-0.01550,-0.0495,-1.21323,-1.21206,0.01618,3.5087,0.00000,0.01458,-0.38755,-17.6631,0.61018,0.61180,0.09301,-2.1028,-1.21323,-1.21334,0.02022,4.7889
0.0420,B,-0.00981,-0.00072,-2.19443,0.13955,-0.02557,-0.07350,0.30406,-0.00718,5.04339,-0.456069,0.002558,-0.004198,0.889931,79,30.536,10.460,101,15,27,10,0.00000,-0.00355,0.00000,6.5804,0.61018,0.60584,0.00000,4.6261,-1.21323,-1.21623,0.09503,6.4959,0.00000,-0.00148,-0.00388,-1.4101,0.61018,0.60841,0.08914,1.6327,-1.21323,-1.21257,0.06673,3.0346,0.00000,-0.00731,0.15502,10.7117,0.61018,0.61040,0.04263,-0.0247,-1.21323,-1.21206,0.03033,3.5087,0.00000,0.01421,-0.24028,-17.1684,0.61018,0.61174,0.03876,-1.7812,-1.21323,-1.21323,-0.01415,4.8363
0.0440,B,-0.00956,-0.00080,-2.19458,0.11079,-0.01598,-0.07670,0.01676,0.29209,5.38097,-0.456004,0.002536,-0.004073,0.889965,79,30.562,10.220,101,15,27,10,0.00000,-0.00352,0.02713,6.5556,0.61018,0.60584,-0.02325,4.4776,-1.21323,-1.21611,0.09301,6.4484,0.00000,-0.00160,0.05813,-1.3111,0.61018,0.60844,0.04263,1.3111,-1.21323,-1.21244,0.08492,2.9871,0.00000,-0.00719,0.00388,10.7612,0.61018,0.61034,-0.03876,0.0000,-1.21323,-1.21206,0.02426,3.4613,0.00000,0.01385,-0.17440,-16.7478,0.61018,0.61183,0.04651,-2.0780,-1.21323,-1.21317,0.02629,4.6941
0.0460,B,-0.00933,-0.00088,-2.19474,0.09587,-0.02876,-0.07563,0.01676,0.29209,5.38097,-0.455933,0.002519,-0.003954,0.890001,79,30.562,10.015,101,15,28,10,0.00000,-0.00346,0.09301,6.5804,0.61018,0.60593,-0.00388,4.5271,-1.21323,-1.21603,0.05257,6.4959,0.00000,-0.00169,-0.03100,-1.4843,0.61018,0.60856,0.10851,1.4596,-1.21323,-1.21235,0.04853,2.7975,0.00000,-0.00710,-0.01163,11.0828,0.61018,0.61037,0.00000,-0.0742,-1.21323,-1.21209,-0.03842,3.4139,0.00000,0.01306,-0.39143,-16.2531,0.61018,0.61183,0.01938,-1.8801,-1.21323,-1.21312,0.02022,4.6941
