t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,degraded,cop_lx,cop_ly,slip_l,slip_r,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0500,-0.00071,0.00000,0.46189,1.00000,0.00000,-0.00190,-0.00000,0.00847,0.00000,0.30082,0.30051,0.00390,0.00005,2,0.03476,0,0.04900,0.01900,0.0029,0.0023,0.001826,-0.000342,31.4654,0.001186,-0.000328,32.4054,0.001812,-0.000187,31.4226,0.001175,-0.000101,32.3713,-0.00010,0.00013,-0.55064,1.11102,-0.55671,0.00003,0.00010,-0.00016,-0.55064,1.11102,-0.55671,0.00006,-0.00003,-0.00011,-0.00003,-0.00011,-0.00018,-0.00113,-0.03157,-1.34751,0.05381,0.00994,0.00016,0.00694,-0.03233,-1.34575,0.05330,0.00557,-0.00454,0.00037,-0.00455,0.00037,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0550,-0.00069,0.00000,0.46190,1.00000,0.00000,-0.00184,-0.00000,0.00847,0.00000,0.30084,0.30051,0.00379,0.00006,2,0.03477,0,0.04900,0.01900,0.0022,0.0012,0.002059,-0.000372,31.4909,0.001519,-0.000355,32.4433,0.002043,-0.000226,31.4388,0.001506,-0.000137,32.4010,-0.00010,0.00012,-0.55080,1.11102,-0.55664,0.00003,0.00010,-0.00016,-0.55080,1.11102,-0.55665,0.00009,-0.00005,-0.00009,-0.00005,-0.00009,-0.00017,-0.00057,-0.02663,-1.34380,0.06148,0.01100,0.00015,0.00732,-0.02757,-1.34166,0.06087,0.00657,-0.00428,0.00030,-0.00429,0.00030,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0600,-0.00068,0.00001,0.46191,1.00000,0.00000,-0.00178,-0.00000,0.00847,0.00000,0.30085,0.30051,0.00368,0.00007,2,0.03478,0,0.04900,0.01900,0.0020,0.0005,0.002226,-0.000403,31.5092,0.001756,-0.000384,32.4713,0.002208,-0.000265,31.4469,0.001741,-0.000173,32.4198,-0.00010,0.00012,-0.55095,1.11097,-0.55654,0.00002,0.00010,-0.00017,-0.55096,1.11097,-0.55654,0.00013,-0.00008,-0.00007,-0.00008,-0.00007,-0.00017,-0.00000,-0.02263,-1.34085,0.06721,0.01206,0.00013,0.00774,-0.02374,-1.33829,0.06648,0.00760,-0.00409,0.00024,-0.00410,0.00024,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0650,-0.00066,0.00001,0.46193,1.00000,0.00000,-0.00172,-0.00000,0.00848,0.00000,0.30086,0.30051,0.00356,0.00008,2,0.03479,0,0.04900,0.01900,0.0020,0.0002,0.002350,-0.000435,31.5229,0.001929,-0.000414,32.4924,0.002329,-0.000304,31.4494,0.001911,-0.000209,32.4308,-0.00010,0.00011,-0.55109,1.11087,-0.55641,0.00003,0.00010,-0.00018,-0.55109,1.11088,-0.55641,0.00016,-0.00011,-0.00005,-0.00011,-0.00005,-0.00016,0.00059,-0.01932,-1.33843,0.07156,0.01313,0.00012,0.00819,-0.02063,-1.33541,0.07069,0.00864,-0.00394,0.00018,-0.00395,0.00018,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0700,-0.00065,0.00001,0.46194,1.00000,0.00000,-0.00166,-0.00000,0.00848,0.00000,0.30088,0.30051,0.00345,0.00009,2,0.03480,0,0.04900,0.01900,0.0021,0.0003,0.002444,-0.000469,31.5337,0.002058,-0.000444,32.5089,0.002420,-0.000342,31.4483,0.002037,-0.000245,32.4363,-0.00010,0.00010,-0.55122,1.11075,-0.55626,0.00004,0.00010,-0.00019,-0.55122,1.11075,-0.55626,0.00019,-0.00015,-0.00003,-0.00015,-0.00003,-0.00016,0.00119,-0.01653,-1.33641,0.07490,0.01421,0.00011,0.00868,-0.01806,-1.33290,0.07390,0.00970,-0.00380,0.00013,-0.00382,0.00013,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0750,-0.00063,0.00001,0.46195,1.00000,0.00000,-0.00160,0.00000,0.00849,0.00001,0.30089,0.30051,0.00332,0.00011,2,0.03480,0,0.04900,0.01900,0.0023,0.0005,0.002517,-0.000503,31.5429,0.002157,-0.000476,32.5224,0.002489,-0.000381,31.4446,0.002133,-0.000281,32.4380,-0.00010,0.00009,-0.55133,1.11059,-0.55609,0.00005,0.00010,-0.00020,-0.55134,1.11060,-0.55609,0.00022,-0.00018,-0.00002,-0.00018,-0.00002,-0.00016,0.00182,-0.01416,-1.33469,0.07752,0.01531,0.00010,0.00921,-0.01592,-1.33065,0.07636,0.01077,-0.00369,0.00008,-0.00370,0.00008,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0800,-0.00062,0.00001,0.46197,1.00000,0.00000,-0.00154,0.00000,0.00849,0.00001,0.30090,0.30051,0.00320,0.00012,2,0.03481,0,0.04900,0.01900,0.0024,0.0007,0.002576,-0.000538,31.5513,0.002234,-0.000508,32.5341,0.002544,-0.000420,31.4391,0.002207,-0.000316,32.4368,-0.00010,0.00008,-0.55144,1.11042,-0.55591,0.00007,0.00010,-0.00021,-0.55144,1.11043,-0.55592,0.00025,-0.00022,-0.00001,-0.00022,-0.00001,-0.00016,0.00246,-0.01211,-1.33322,0.07958,0.01641,0.00010,0.00977,-0.01412,-1.32861,0.07827,0.01186,-0.00358,0.00004,-0.00359,0.00004,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0850,-0.00060,0.00002,0.46198,1.00000,0.00000,-0.00148,0.00000,0.00849,0.00001,0.30091,0.30051,0.00308,0.00014,2,0.03481,0,0.04900,0.01900,0.0025,0.0008,0.002623,-0.000574,31.5594,0.002296,-0.000541,32.5445,0.002587,-0.000459,31.4325,0.002265,-0.000353,32.4335,-0.00010,0.00007,-0.55154,1.11023,-0.55573,0.00009,0.00010,-0.00022,-0.55154,1.11024,-0.55573,0.00028,-0.00026,0.00000,-0.00026,0.00000,-0.00016,0.00313,-0.01032,-1.33195,0.08123,0.01752,0.00009,0.01037,-0.01259,-1.32674,0.07974,0.01297,-0.00347,0.00000,-0.00349,0.00000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0900,-0.00059,0.00002,0.46199,1.00000,0.00000,-0.00142,0.00000,0.00850,0.00001,0.30092,0.30051,0.00296,0.00016,2,0.03481,0,0.04900,0.01900,0.0026,0.0009,0.002661,-0.000610,31.5675,0.002346,-0.000575,32.5543,0.002621,-0.000498,31.4249,0.002311,-0.000389,32.4288,-0.00010,0.00006,-0.55162,1.11003,-0.55554,0.00011,0.00010,-0.00024,-0.55163,1.11004,-0.55555,0.00031,-0.00031,0.00001,-0.00031,0.00001,-0.00016,0.00382,-0.00875,-1.33086,0.08254,0.01864,0.00008,0.01100,-0.01130,-1.32501,0.08088,0.01409,-0.00337,-0.00003,-0.00339,-0.00003,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0950,-0.00058,0.00002,0.46201,1.00000,0.00000,-0.00136,0.00000,0.00850,0.00001,0.30093,0.30051,0.00284,0.00017,2,0.03482,0,0.04900,0.01900,0.0027,0.0010,0.002694,-0.000647,31.5759,0.002387,-0.000609,32.5638,0.002649,-0.000537,31.4167,0.002347,-0.000425,32.4228,-0.00010,0.00004,-0.55171,1.10982,-0.55535,0.00014,0.00010,-0.00025,-0.55171,1.10983,-0.55536,0.00034,-0.00035,0.00002,-0.00035,0.00002,-0.00016,0.00453,-0.00735,-1.32992,0.08360,0.01978,0.00008,0.01166,-0.01020,-1.32340,0.08175,0.01523,-0.00327,-0.00006,-0.00329,-0.00006,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
