rev,vy,first_swing,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived,cond,MOM,KP_MOM,MOM_LEVEL
v6,+0.030,1,40,93,0.465,0.262,11.8,1.00,114,6,577,27.7,,6.338,SURVIVED,merge kp=1,1,1,post_merge
v6,-0.055,0,5,-0,0.448,0.533,103.5,1.00,208,1,97,381.1,4.370,6.338,FELL,merge kp=1,1,1,post_merge
v6,-0.030,0,40,93,0.465,0.262,11.8,1.00,114,7,577,27.7,,6.338,SURVIVED,merge kp=1,1,1,post_merge
v6,+0.018,0,6,0,0.457,0.538,102.5,1.00,141,3,106,373.6,4.940,6.338,FELL,merge kp=3,1,3,post_merge
v6,+0.036,0,40,101,0.476,0.005,11.5,1.00,62,8,680,21.5,,6.338,SURVIVED,merge kp=1,1,1,post_merge
v6,-0.055,1,8,-109,0.445,0.530,137.4,1.00,170,20,200,424.7,6.165,6.338,FELL,merge kp=1,1,1,post_merge
v6,+0.018,1,7,2676,0.457,0.527,80.5,1.00,151,5,118,376.2,5.470,6.338,FELL,merge kp=3,1,3,post_merge
v6,+0.022,1,5,0,0.459,0.530,86.7,1.01,128,2,88,400.2,4.370,6.338,FELL,merge kp=3,1,3,post_merge
v6,-0.022,0,5,-0,0.458,0.537,94.2,1.00,157,2,88,353.7,4.380,6.338,FELL,merge kp=3,1,3,post_merge
v6,-0.036,0,40,94,0.465,0.253,13.0,1.00,111,6,717,24.9,,6.338,SURVIVED,merge kp=1,1,1,post_merge
v6,-0.036,1,40,101,0.476,0.005,11.5,1.00,65,5,681,22.7,,6.338,SURVIVED,merge kp=1,1,1,post_merge
v6,+0.026,1,4,0,0.427,0.540,241.2,1.00,159,2,79,370.7,3.985,6.338,FELL,merge kp=3,1,3,post_merge
v6,-0.026,0,4,-0,0.433,0.533,247.8,1.00,145,2,84,365.8,3.970,6.338,FELL,merge kp=3,1,3,post_merge
v6,+0.026,0,6,0,0.441,0.521,138.4,1.00,198,5,103,392.8,4.935,6.338,FELL,merge kp=3,1,3,post_merge
v6,-0.026,1,6,-0,0.421,0.529,311.3,1.00,174,5,109,392.6,5.035,6.338,FELL,merge kp=3,1,3,post_merge
v6,-0.018,0,40,89,0.465,0.268,15.2,1.00,117,8,496,29.5,,6.338,SURVIVED,merge kp=3,1,3,post_merge
v6,-0.018,1,40,105,0.476,0.005,11.6,1.00,62,11,463,21.8,,6.338,SURVIVED,merge kp=3,1,3,post_merge
v6,+0.022,0,40,104,0.476,0.005,11.7,1.00,63,7,483,20.8,,6.338,SURVIVED,merge kp=3,1,3,post_merge
v6,-0.022,1,40,104,0.476,0.005,11.6,1.00,62,11,482,21.3,,6.338,SURVIVED,merge kp=3,1,3,post_merge
v6,-0.036,0,5,-0,0.441,0.533,219.4,1.00,199,2,93,422.6,4.420,6.338,FELL,merge kp=3,1,3,post_merge
v6,+0.045,0,4,0,0.433,0.524,279.0,1.00,178,1,76,401.5,3.905,6.338,FELL,merge kp=3,1,3,post_merge
v6,+0.030,0,40,102,0.476,0.006,11.8,1.00,64,10,542,20.4,,6.338,SURVIVED,merge kp=3,1,3,post_merge
v6,+0.030,1,40,93,0.465,0.263,13.6,1.00,115,9,577,27.7,,6.338,SURVIVED,merge kp=3,1,3,post_merge
v6,-0.030,0,40,93,0.465,0.262,11.8,1.00,114,6,580,27.3,,6.338,SURVIVED,merge kp=3,1,3,post_merge
v6,-0.030,1,40,102,0.476,0.006,11.8,1.00,62,4,542,20.6,,6.338,SURVIVED,merge kp=3,1,3,post_merge
v6,-0.045,1,4,-0,0.438,0.529,243.6,1.00,133,3,76,403.5,3.890,6.338,FELL,merge kp=3,1,3,post_merge
v6,+0.045,1,9,250,0.449,0.534,77.8,1.00,150,11,192,779.6,6.620,6.338,FELL,merge kp=3,1,3,post_merge
v6,-0.045,0,9,306,0.443,0.526,126.1,1.01,153,5,196,699.0,6.630,6.338,FELL,merge kp=3,1,3,post_merge
v6,+0.055,0,8,-246,0.437,0.550,224.9,1.01,145,21,191,423.6,6.315,6.338,FELL,merge kp=3,1,3,post_merge
v6,+0.055,1,5,0,0.440,0.522,149.3,1.00,165,16,109,423.1,4.460,6.338,FELL,merge kp=3,1,3,post_merge
v6,-0.055,0,5,-0,0.426,0.525,179.6,1.00,210,2,114,421.8,4.385,6.338,FELL,merge kp=3,1,3,post_merge
v6,+0.036,0,40,101,0.476,0.005,11.5,1.00,64,9,680,21.5,,6.338,SURVIVED,merge kp=3,1,3,post_merge
v6,-0.055,1,8,-102,0.447,0.522,170.1,1.00,126,10,204,424.6,6.145,6.338,FELL,merge kp=3,1,3,post_merge
v6,+0.036,1,40,94,0.465,0.253,12.6,1.00,111,11,717,24.9,,6.338,SURVIVED,merge kp=3,1,3,post_merge
