rev,vy,first_swing,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived,cond,JLIM
v6noadd,+0.055,0,18,140,0.458,0.529,143.9,1.00,149,20,63,449.8,11.840,6.338,FELL,v6noadd,
v6noadd,-0.055,1,16,138,0.459,0.529,96.7,1.00,180,14,44,475.7,10.525,6.338,FELL,v6noadd,
v6noadd,+0.055,1,21,130,0.460,0.526,178.2,1.00,136,14,38,536.4,13.320,6.338,FELL,v6noadd,
v6noadd,-0.055,0,21,109,0.443,0.525,109.6,1.01,166,18,38,466.9,13.370,6.338,FELL,v6noadd,
v6,+0.018,0,0,0,0.299,0.372,153.8,83.17,193,50,22,431.5,0.415,6.338,FELL,v6 +jlim,1
v6,+0.018,1,0,0,0.463,0.530,100.0,53.49,204,62,0,0.0,0.335,6.338,FELL,v6 +jlim,1
v6,-0.018,0,0,-0,0.319,0.521,173.5,30.87,198,69,13,418.5,0.445,6.338,FELL,v6 +jlim,1
v6,-0.018,1,0,-0,0.378,0.535,225.5,47.86,205,168,11,55.5,1.115,6.338,FELL,v6 +jlim,1
v6,+0.022,0,0,0,0.364,0.523,198.8,39.19,211,71,8,51.3,0.500,6.338,FELL,v6 +jlim,1
v6,+0.022,1,0,0,0.296,0.458,90.1,81.03,209,84,18,191.7,0.570,6.338,FELL,v6 +jlim,1
v6,-0.022,0,0,-0,0.300,0.300,196.3,109.00,200,64,0,0.0,0.445,6.338,FELL,v6 +jlim,1
v6,-0.022,1,0,-0,0.292,0.498,296.4,115.00,207,58,4,396.1,0.445,6.338,FELL,v6 +jlim,1
v6,+0.026,0,0,0,0.454,0.527,102.4,50.27,202,157,1,0.0,0.960,6.338,FELL,v6 +jlim,1
v6,+0.026,1,0,0,0.307,0.522,184.6,112.37,203,87,11,121.8,0.670,6.338,FELL,v6 +jlim,1
v6,-0.026,0,0,-0,0.410,0.531,73.4,94.19,197,113,0,0.0,0.715,6.338,FELL,v6 +jlim,1
v6,-0.026,1,0,-0,0.370,0.526,112.9,127.27,184,122,3,11.9,0.675,6.338,FELL,v6 +jlim,1
v6,+0.030,0,0,0,0.417,0.525,181.4,60.14,193,82,26,309.5,0.525,6.338,FELL,v6 +jlim,1
v6,+0.030,1,0,0,0.427,0.522,83.1,21.29,164,173,0,0.0,0.995,6.338,FELL,v6 +jlim,1
v6,-0.030,0,0,-0,0.396,0.547,173.1,70.56,201,106,13,130.6,0.685,6.338,FELL,v6 +jlim,1
v6,-0.030,1,0,-0,0.433,0.553,124.5,86.28,197,47,0,0.0,0.295,6.338,FELL,v6 +jlim,1
v6,+0.036,0,0,0,0.358,0.531,297.9,28.54,201,90,2,41.8,0.655,6.338,FELL,v6 +jlim,1
v6,+0.036,1,0,0,0.299,0.481,136.1,70.95,334,146,17,872.8,0.905,6.338,FELL,v6 +jlim,1
v6,-0.036,0,0,-0,0.409,0.526,245.2,207.39,204,51,10,535.4,0.330,6.338,FELL,v6 +jlim,1
v6,-0.036,1,0,-0,0.321,0.527,196.5,91.63,197,91,26,478.1,0.660,6.338,FELL,v6 +jlim,1
v6,+0.045,0,0,0,0.355,0.523,238.7,54.37,198,100,0,0.0,0.635,6.338,FELL,v6 +jlim,1
v6,+0.045,1,0,0,0.430,0.543,173.2,40.10,199,201,0,0.0,1.150,6.338,FELL,v6 +jlim,1
v6,-0.045,0,0,-0,0.427,0.537,92.6,47.28,202,103,0,0.0,0.695,6.338,FELL,v6 +jlim,1
v6,-0.045,1,0,-0,0.299,0.517,310.6,121.16,212,112,35,625.5,0.810,6.338,FELL,v6 +jlim,1
v6,+0.055,0,0,0,0.298,0.525,92.1,52.01,276,59,8,774.0,0.420,6.338,FELL,v6 +jlim,1
v6,+0.055,1,0,0,0.465,0.536,86.2,46.23,194,42,7,66.0,0.285,6.338,FELL,v6 +jlim,1
v6,-0.055,0,0,-0,0.473,0.524,87.0,61.60,134,170,0,0.0,0.985,6.338,FELL,v6 +jlim,1
v6,-0.055,1,0,-0,0.316,0.521,240.0,82.91,194,43,1,20.5,0.305,6.338,FELL,v6 +jlim,1
v6noadd,+0.018,0,0,0,0.297,0.408,215.4,39.11,213,215,7,226.7,1.650,6.338,FELL,v6noadd +jlim,1
v6noadd,+0.018,1,0,0,0.346,0.529,109.9,33.75,204,49,5,86.5,0.385,6.338,FELL,v6noadd +jlim,1
v6noadd,-0.018,0,1,-0,0.316,0.533,157.7,121.96,192,281,12,191.4,2.065,6.338,FELL,v6noadd +jlim,1
v6noadd,-0.018,1,0,-0,0.333,0.542,206.1,30.23,199,93,4,401.2,0.635,6.338,FELL,v6noadd +jlim,1
v6noadd,+0.022,0,0,0,0.429,0.537,173.5,28.73,209,115,3,123.9,0.760,6.338,FELL,v6noadd +jlim,1
v6noadd,+0.022,1,0,0,0.299,0.412,172.5,61.94,201,98,0,0.0,0.695,6.338,FELL,v6noadd +jlim,1
v6noadd,-0.022,0,0,-0,0.383,0.533,158.7,132.21,201,186,0,0.0,1.330,6.338,FELL,v6noadd +jlim,1
v6noadd,-0.022,1,0,-0,0.306,0.527,207.6,80.64,205,188,28,154.9,1.365,6.338,FELL,v6noadd +jlim,1
v6noadd,+0.026,0,0,0,0.300,0.314,205.7,41.72,187,96,12,464.0,0.655,6.338,FELL,v6noadd +jlim,1
v6noadd,+0.026,1,0,0,0.298,0.414,111.5,47.12,360,139,35,593.5,0.970,6.338,FELL,v6noadd +jlim,1
v6noadd,-0.026,0,0,-0,0.398,0.522,287.0,34.70,206,121,62,297.1,0.840,6.338,FELL,v6noadd +jlim,1
v6noadd,-0.026,1,0,-0,0.338,0.533,303.0,127.32,202,196,0,0.0,1.285,6.338,FELL,v6noadd +jlim,1
v6noadd,+0.030,0,0,0,0.342,0.533,296.0,58.27,209,176,16,142.3,1.265,6.338,FELL,v6noadd +jlim,1
v6noadd,+0.030,1,0,0,0.383,0.528,231.2,42.58,186,111,0,0.0,0.740,6.338,FELL,v6noadd +jlim,1
v6noadd,-0.030,0,0,-0,0.299,0.427,131.3,70.60,202,156,0,0.0,1.205,6.338,FELL,v6noadd +jlim,1
v6noadd,-0.030,1,0,-0,0.387,0.523,237.1,22.70,191,144,0,0.0,1.105,6.338,FELL,v6noadd +jlim,1
v6noadd,+0.036,0,0,0,0.299,0.444,130.4,87.73,232,59,8,599.0,0.460,6.338,FELL,v6noadd +jlim,1
v6noadd,+0.036,1,0,0,0.294,0.355,136.8,35.62,199,148,1,70.1,1.065,6.338,FELL,v6noadd +jlim,1
v6noadd,-0.036,0,0,-0,0.330,0.524,341.6,71.73,205,174,8,144.6,1.300,6.338,FELL,v6noadd +jlim,1
v6noadd,-0.036,1,0,-0,0.307,0.539,226.5,186.80,385,253,27,739.1,1.845,6.338,FELL,v6noadd +jlim,1
v6noadd,+0.045,0,0,0,0.361,0.554,165.6,71.63,196,165,13,797.5,1.100,6.338,FELL,v6noadd +jlim,1
v6noadd,+0.045,1,0,0,0.298,0.335,137.9,62.04,377,192,18,686.4,1.425,6.338,FELL,v6noadd +jlim,1
v6noadd,-0.045,0,0,-0,0.298,0.164,109.3,19.12,183,189,0,0.0,1.530,6.338,FELL,v6noadd +jlim,1
v6noadd,-0.045,1,0,-0,0.332,0.532,283.2,37.87,177,229,14,74.5,1.730,6.338,FELL,v6noadd +jlim,1
v6noadd,+0.055,0,0,0,0.407,0.525,123.2,66.39,206,163,4,664.6,1.175,6.338,FELL,v6noadd +jlim,1
v6noadd,+0.055,1,0,0,0.309,0.539,174.6,47.63,386,119,33,869.8,0.955,6.338,FELL,v6noadd +jlim,1
v6noadd,-0.055,0,0,-0,0.293,0.429,151.9,99.16,203,253,10,510.3,1.930,6.338,FELL,v6noadd +jlim,1
v6noadd,-0.055,1,0,-0,0.391,0.532,60.1,14.93,106,189,0,0.0,1.220,6.338,FELL,v6noadd +jlim,1
v6fixed,+0.018,0,40,105,0.476,0.002,5.4,1.00,69,10,0,0.0,,6.338,SURVIVED,v6fixed,
v6fixed,-0.018,1,40,105,0.476,0.002,5.4,1.00,64,2,0,0.0,,6.338,SURVIVED,v6fixed,
v6fixed,-0.018,0,40,90,0.476,0.002,5.4,1.00,65,9,0,0.0,,6.338,SURVIVED,v6fixed,
v6fixed,+0.018,1,40,90,0.476,0.002,5.4,1.00,66,12,0,0.0,,6.338,SURVIVED,v6fixed,
v6fixed,+0.022,1,40,91,0.476,0.002,5.4,1.00,64,14,0,0.0,,6.338,SURVIVED,v6fixed,
v6fixed,+0.022,0,40,104,0.476,0.002,5.4,1.00,63,15,0,0.0,,6.338,SURVIVED,v6fixed,
v6fixed,-0.022,1,40,104,0.476,0.002,5.4,1.00,63,6,0,0.0,,6.338,SURVIVED,v6fixed,
v6fixed,-0.022,0,40,91,0.476,0.002,5.4,1.00,67,12,0,0.0,,6.338,SURVIVED,v6fixed,
v6fixed,+0.030,0,40,102,0.476,0.004,7.5,1.00,64,35,0,0.0,,6.338,SURVIVED,v6fixed,
v6fixed,+0.030,1,40,93,0.476,0.010,13.1,1.00,66,20,0,0.0,,6.338,SURVIVED,v6fixed,
v6fixed,+0.026,1,40,92,0.476,0.007,6.7,1.00,67,21,0,0.0,,6.338,SURVIVED,v6fixed,
v6fixed,-0.030,0,40,93,0.476,0.009,8.1,1.00,66,10,0,0.0,,6.338,SURVIVED,v6fixed,
v6fixed,+0.026,0,40,103,0.476,0.003,7.2,1.00,69,33,0,0.0,,6.338,SURVIVED,v6fixed,
v6fixed,-0.030,1,40,102,0.476,0.008,13.3,1.00,66,5,0,0.0,,6.338,SURVIVED,v6fixed,
v6fixed,-0.026,0,40,92,0.476,0.007,6.8,1.00,64,4,0,0.0,,6.338,SURVIVED,v6fixed,
v6fixed,-0.026,1,40,103,0.476,0.002,6.5,1.00,68,5,0,0.0,,6.338,SURVIVED,v6fixed,
v6fixed,+0.045,1,8,-532,0.427,0.528,233.7,1.01,204,43,33,228.6,5.970,6.338,FELL,v6fixed,
v6fixed,-0.045,0,15,108,0.439,0.529,47.3,1.00,181,16,0,0.0,10.015,6.338,FELL,v6fixed,
v6fixed,+0.055,0,11,314,0.424,0.554,344.7,1.00,181,18,3,213.4,7.820,6.338,FELL,v6fixed,
v6fixed,+0.055,1,8,635,0.418,0.546,290.6,1.01,217,17,20,111.9,6.045,6.338,FELL,v6fixed,
v6fixed,-0.045,1,28,113,0.439,0.522,37.5,1.00,156,24,0,0.0,17.160,6.338,FELL,v6fixed,
v6fixed,-0.055,0,8,444,0.397,0.524,191.2,1.00,163,25,5,222.2,5.995,6.338,FELL,v6fixed,
v6fixed,-0.055,1,11,269,0.432,0.523,290.6,1.01,207,24,6,0.0,7.845,6.338,FELL,v6fixed,
v6fixed,+0.045,0,40,101,0.475,0.014,27.7,1.00,117,19,0,0.0,,6.338,SURVIVED,v6fixed,
v6fixed,+0.036,1,40,94,0.476,0.008,10.5,1.00,63,23,0,0.0,,6.338,SURVIVED,v6fixed,
v6fixed,+0.036,0,40,101,0.476,0.008,12.6,1.00,63,28,0,0.0,,6.338,SURVIVED,v6fixed,
v6fixed,-0.036,0,40,94,0.476,0.016,10.3,1.00,63,10,0,0.0,,6.338,SURVIVED,v6fixed,
v6fixed,-0.036,1,40,101,0.476,0.007,10.0,1.00,64,6,0,0.0,,6.338,SURVIVED,v6fixed,
