t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00064,0.00000,0.46168,1.00000,0.00000,-0.00196,0.00000,0.00856,-0.00000,0.30051,0.30051,0.00370,-0.00000,2,0.03434,0,0.04900,0.01900,0.0288,0.0288,0.013398,0.067548,3.2850,-0.0003,27.8717,-0.4918,0.2767,32.6831,3.2850,0.0003,27.8717,-0.4918,-0.2767,32.6831,-0.044990,-0.000057,27.8734,0.007182,-0.002494,32.6831,-0.044990,0.000057,27.8734,0.007182,0.002494,32.6831,-0.00011,0.00009,-0.54856,1.10723,-0.55428,0.00051,0.00011,-0.00009,-0.54856,1.10723,-0.55428,-0.00051,0.00018,-0.00042,0.00018,-0.00042,0.00011,-0.00061,-0.48390,-1.90368,-0.98005,0.00035,-0.00011,0.00061,-0.48390,-1.90368,-0.98005,-0.00035,-0.07239,-0.00683,-0.07239,-0.00683,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0050,-0.00069,0.00000,0.46173,1.00000,0.00000,-0.00204,-0.00000,0.00851,0.00000,0.30058,0.30051,0.00392,0.00000,2,0.03442,0,0.04900,0.01900,0.1793,0.1793,-0.035262,0.069916,2.0680,-0.0002,29.0678,3.1712,0.0254,29.4834,2.0680,0.0012,29.0674,3.1712,-0.0254,29.4834,-0.026823,-0.000094,29.0688,-0.041476,-0.000132,29.4834,-0.026824,0.000081,29.0684,-0.041476,0.000132,29.4834,-0.00011,0.00009,-0.54867,1.10767,-0.55455,0.00045,0.00011,-0.00009,-0.54867,1.10767,-0.55455,-0.00045,0.00017,-0.00040,0.00017,-0.00040,-0.00004,-0.00221,-0.32963,-1.69640,-0.61665,0.00106,0.00004,0.00232,-0.32963,-1.69638,-0.61665,-0.00071,-0.04642,-0.00358,-0.04642,-0.00358,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0100,-0.00072,0.00000,0.46176,1.00000,0.00000,-0.00208,-0.00000,0.00849,0.00000,0.30063,0.30051,0.00407,0.00000,2,0.03448,0,0.04900,0.01900,0.1123,0.1123,-0.018937,0.069893,1.2732,0.0008,29.8655,2.0516,0.0251,30.4454,1.2732,0.0027,29.8639,2.0516,-0.0243,30.4450,-0.015942,-0.000126,29.8660,-0.025148,-0.000153,30.4454,-0.015944,0.000080,29.8644,-0.025148,0.000141,30.4450,-0.00010,0.00010,-0.54886,1.10826,-0.55497,0.00038,0.00010,-0.00010,-0.54886,1.10826,-0.55497,-0.00038,0.00015,-0.00037,0.00015,-0.00037,-0.00014,-0.00308,-0.22986,-1.56671,-0.38234,0.00190,0.00014,0.00349,-0.22989,-1.56665,-0.38236,-0.00062,-0.03030,-0.00164,-0.03030,-0.00164,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0150,-0.00074,0.00000,0.46179,1.00000,0.00000,-0.00210,-0.00000,0.00847,0.00000,0.30067,0.30051,0.00416,0.00000,2,0.03454,0,0.04900,0.01900,0.0702,0.0702,-0.008969,0.069871,0.7630,0.0024,30.4022,1.3097,0.0253,31.0861,0.7630,0.0047,30.3986,1.3097,-0.0225,31.0845,-0.009277,-0.000155,30.4024,-0.015176,-0.000174,31.0861,-0.009279,0.000063,30.3989,-0.015177,0.000131,31.0845,-0.00010,0.00011,-0.54908,1.10887,-0.55542,0.00031,0.00010,-0.00011,-0.54908,1.10887,-0.55542,-0.00031,0.00013,-0.00033,0.00013,-0.00033,-0.00019,-0.00348,-0.16449,-1.48541,-0.23054,0.00282,0.00019,0.00432,-0.16455,-1.48526,-0.23058,-0.00024,-0.02027,-0.00051,-0.02027,-0.00051,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0200,-0.00075,0.00000,0.46181,1.00000,0.00000,-0.00211,-0.00000,0.00846,0.00000,0.30071,0.30051,0.00421,0.00001,2,0.03459,0,0.04900,0.01900,0.0442,0.0442,-0.002803,0.069851,0.4363,0.0045,30.7682,0.8355,0.0252,31.5159,0.4363,0.0070,30.7617,0.8355,-0.0194,31.5123,-0.005117,-0.000182,30.7683,-0.009006,-0.000193,31.5159,-0.005121,0.000037,30.7618,-0.009008,0.000108,31.5123,-0.00010,0.00011,-0.54933,1.10945,-0.55583,0.00024,0.00010,-0.00012,-0.54933,1.10945,-0.55583,-0.00024,0.00010,-0.00030,0.00010,-0.00030,-0.00022,-0.00354,-0.12092,-1.43418,-0.13122,0.00378,0.00022,0.00491,-0.12103,-1.43391,-0.13129,0.00034,-0.01404,0.00011,-0.01404,0.00011,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0250,-0.00075,0.00000,0.46182,1.00000,0.00000,-0.00210,-0.00000,0.00846,0.00000,0.30073,0.30051,0.00421,0.00001,2,0.03463,0,0.04900,0.01900,0.0279,0.0279,0.001079,0.069832,0.2270,0.0069,31.0197,0.5320,0.0257,31.8123,0.2270,0.0095,31.0095,0.5320,-0.0165,31.8058,-0.002481,-0.000207,31.0197,-0.005122,-0.000212,31.8123,-0.002486,0.000004,31.0095,-0.005125,0.000078,31.8058,-0.00010,0.00012,-0.54958,1.10994,-0.55617,0.00019,0.00010,-0.00012,-0.54958,1.10994,-0.55617,-0.00017,0.00008,-0.00026,0.00008,-0.00026,-0.00022,-0.00336,-0.09131,-1.40156,-0.06544,0.00477,0.00022,0.00531,-0.09150,-1.40114,-0.06556,0.00106,-0.01018,0.00041,-0.01018,0.00041,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0300,-0.00075,0.00000,0.46183,1.00000,0.00000,-0.00207,-0.00000,0.00846,0.00000,0.30075,0.30051,0.00419,0.00002,2,0.03467,0,0.04900,0.01900,0.0176,0.0175,0.003562,0.069812,0.0933,0.0096,31.1933,0.3368,0.0267,32.0192,0.0932,0.0121,31.1783,0.3368,-0.0136,32.0090,-0.000789,-0.000232,31.1933,-0.002638,-0.000232,32.0192,-0.000795,-0.000032,31.1783,-0.002643,0.000043,32.0090,-0.00010,0.00012,-0.54982,1.11034,-0.55643,0.00014,0.00010,-0.00013,-0.54982,1.11034,-0.55643,-0.00012,0.00006,-0.00023,0.00006,-0.00023,-0.00022,-0.00301,-0.07074,-1.38045,-0.02131,0.00577,0.00021,0.00563,-0.07101,-1.37984,-0.02148,0.00188,-0.00779,0.00053,-0.00779,0.00053,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0350,-0.00074,0.00000,0.46185,1.00000,0.00000,-0.00204,-0.00000,0.00846,0.00000,0.30077,0.30051,0.00414,0.00002,2,0.03470,0,0.04900,0.01900,0.0110,0.0109,0.005171,0.069790,0.0082,0.0123,31.3136,0.2109,0.0280,32.1643,0.0082,0.0148,31.2931,0.2108,-0.0108,32.1496,0.000311,-0.000257,31.3136,-0.001028,-0.000253,32.1643,0.000304,-0.000071,31.2931,-0.001033,0.000007,32.1496,-0.00010,0.00013,-0.55006,1.11065,-0.55661,0.00010,0.00010,-0.00014,-0.55006,1.11065,-0.55661,-0.00007,0.00004,-0.00019,0.00004,-0.00019,-0.00021,-0.00257,-0.05610,-1.36646,0.00874,0.00678,0.00020,0.00591,-0.05646,-1.36561,0.00850,0.00277,-0.00631,0.00054,-0.00631,0.00054,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0400,-0.00073,0.00000,0.46186,1.00000,0.00000,-0.00200,-0.00000,0.00846,0.00000,0.30079,0.30051,0.00407,0.00003,2,0.03472,0,0.04900,0.01900,0.0069,0.0067,0.006231,0.069767,-0.0453,0.0151,31.3979,0.1297,0.0295,32.2665,-0.0454,0.0175,31.3708,0.1296,-0.0081,32.2462,0.001038,-0.000284,31.3979,0.000032,-0.000275,32.2665,0.001029,-0.000110,31.3708,0.000025,-0.000030,32.2462,-0.00010,0.00013,-0.55027,1.11087,-0.55672,0.00007,0.00010,-0.00014,-0.55028,1.11087,-0.55672,-0.00002,0.00002,-0.00016,0.00002,-0.00016,-0.00019,-0.00207,-0.04538,-1.35689,0.02953,0.00780,0.00018,0.00618,-0.04586,-1.35577,0.02921,0.00370,-0.00538,0.00051,-0.00538,0.00051,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0450,-0.00072,0.00000,0.46187,1.00000,0.00000,-0.00195,-0.00000,0.00846,0.00000,0.30081,0.30051,0.00399,0.00004,2,0.03474,0,0.04900,0.01900,0.0043,0.0040,0.006940,0.069743,-0.0787,0.0179,31.4577,0.0774,0.0312,32.3388,-0.0788,0.0203,31.4233,0.0773,-0.0055,32.3120,0.001525,-0.000311,31.4578,0.000741,-0.000300,32.3388,0.001514,-0.000149,31.4233,0.000732,-0.000067,32.3120,-0.00010,0.00013,-0.55048,1.11101,-0.55676,0.00005,0.00010,-0.00015,-0.55048,1.11101,-0.55676,0.00002,-0.00000,-0.00014,-0.00000,-0.00014,-0.00018,-0.00154,-0.03732,-1.35009,0.04418,0.00883,0.00017,0.00648,-0.03793,-1.34867,0.04377,0.00467,-0.00479,0.00045,-0.00479,0.00045,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
