t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,degraded,cop_lx,cop_ly,slip_l,slip_r,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0500,-0.00057,0.00000,0.45348,0.99999,0.00000,-0.00431,-0.00000,0.00894,-0.00000,0.29186,0.29530,0.00827,0.00005,2,0.02350,0,0.04900,0.01900,0.0205,0.0205,0.002701,-0.000306,41.8751,0.004581,-0.000112,34.9245,0.002689,-0.000232,41.8153,0.004577,-0.000054,34.8983,-0.00008,-0.00008,-0.52560,1.05771,-0.49793,0.00197,0.00012,-0.00015,-0.52563,1.05777,-0.49797,-0.00006,-0.00116,-0.00013,-0.00116,-0.00013,0.00063,0.00142,-0.07716,-1.20604,-0.03780,0.01114,0.00056,0.00100,-0.07804,-1.20384,-0.03854,0.01109,-0.02521,-0.00022,-0.02494,-0.00019,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0550,-0.00063,0.00000,0.45334,0.99999,0.00000,-0.00446,-0.00000,0.00894,-0.00000,0.29175,0.29530,0.00861,0.00006,2,0.02356,0,0.04900,0.01900,0.0209,0.0209,0.001858,-0.000351,41.2586,0.003756,-0.000129,34.2442,0.001842,-0.000276,41.1839,0.003749,-0.000070,34.2104,-0.00008,-0.00012,-0.52683,1.06126,-0.50028,0.00224,0.00013,-0.00018,-0.52686,1.06135,-0.50034,0.00022,-0.00169,-0.00011,-0.00170,-0.00011,0.00087,0.00159,-0.09474,-1.20757,-0.08793,0.01252,0.00080,0.00120,-0.09582,-1.20485,-0.08885,0.01246,-0.02038,0.00074,-0.01999,0.00078,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0600,-0.00070,0.00001,0.45321,0.99999,0.00001,-0.00459,-0.00000,0.00893,-0.00000,0.29166,0.29530,0.00891,0.00007,2,0.02364,0,0.04900,0.01900,0.0190,0.0190,0.001250,-0.000397,40.8368,0.003042,-0.000147,33.7256,0.001229,-0.000322,40.7454,0.003032,-0.000087,33.6830,-0.00006,-0.00016,-0.52822,1.06541,-0.50357,0.00256,0.00014,-0.00022,-0.52827,1.06552,-0.50366,0.00053,-0.00221,-0.00008,-0.00221,-0.00008,0.00110,0.00180,-0.10384,-1.21170,-0.11977,0.01386,0.00103,0.00144,-0.10515,-1.20840,-0.12086,0.01379,-0.01458,0.00171,-0.01409,0.00176,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0650,-0.00076,0.00001,0.45307,0.99999,0.00001,-0.00470,-0.00001,0.00892,-0.00001,0.29158,0.29530,0.00918,0.00008,2,0.02374,0,0.04900,0.01900,0.0155,0.0156,0.000877,-0.000444,40.5603,0.002479,-0.000165,33.3397,0.000850,-0.000369,40.4504,0.002465,-0.000105,33.2872,-0.00005,-0.00020,-0.52969,1.06991,-0.50751,0.00290,0.00016,-0.00027,-0.52976,1.07006,-0.50762,0.00088,-0.00268,-0.00006,-0.00269,-0.00006,0.00132,0.00205,-0.10641,-1.21706,-0.13540,0.01515,0.00124,0.00171,-0.10799,-1.21314,-0.13669,0.01508,-0.00851,0.00263,-0.00793,0.00269,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0700,-0.00081,0.00001,0.45294,0.99999,0.00001,-0.00480,-0.00001,0.00890,-0.00001,0.29150,0.29530,0.00940,0.00009,2,0.02386,0,0.04900,0.01900,0.0112,0.0113,0.000704,-0.000493,40.3895,0.002077,-0.000184,33.0613,0.000672,-0.000417,40.2594,0.002060,-0.000123,32.9979,-0.00004,-0.00025,-0.53119,1.07455,-0.51183,0.00329,0.00017,-0.00031,-0.53128,1.07474,-0.51196,0.00127,-0.00309,-0.00003,-0.00310,-0.00003,0.00148,0.00234,-0.10451,-1.22317,-0.13790,0.01641,0.00141,0.00201,-0.10637,-1.21857,-0.13941,0.01632,-0.00275,0.00343,-0.00212,0.00350,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0750,-0.00086,0.00001,0.45281,0.99999,0.00001,-0.00489,-0.00001,0.00889,-0.00001,0.29143,0.29530,0.00960,0.00011,2,0.02398,0,0.04900,0.01900,0.0068,0.0069,0.000684,-0.000543,40.2933,0.001827,-0.000204,32.8688,0.000647,-0.000467,40.1413,0.001806,-0.000142,32.7932,-0.00002,-0.00030,-0.53267,1.07918,-0.51629,0.00370,0.00019,-0.00037,-0.53278,1.07941,-0.51645,0.00168,-0.00343,0.00001,-0.00343,0.00001,0.00158,0.00266,-0.09994,-1.22999,-0.13071,0.01763,0.00151,0.00235,-0.10212,-1.22466,-0.13243,0.01754,0.00232,0.00407,0.00295,0.00414,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0800,-0.00091,0.00001,0.45268,0.99999,0.00001,-0.00496,-0.00002,0.00887,-0.00001,0.29136,0.29530,0.00977,0.00012,2,0.02410,0,0.04900,0.01900,0.0029,0.0029,0.000763,-0.000595,40.2478,0.001703,-0.000224,32.7433,0.000721,-0.000520,40.0723,0.001678,-0.000162,32.6543,0.00000,-0.00036,-0.53410,1.08367,-0.52069,0.00415,0.00021,-0.00042,-0.53424,1.08395,-0.52089,0.00213,-0.00367,0.00006,-0.00368,0.00006,0.00161,0.00302,-0.09417,-1.23762,-0.11715,0.01882,0.00154,0.00272,-0.09668,-1.23152,-0.11912,0.01873,0.00644,0.00453,0.00703,0.00460,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0850,-0.00095,0.00001,0.45256,0.99999,0.00002,-0.00503,-0.00002,0.00885,-0.00001,0.29129,0.29530,0.00992,0.00014,2,0.02421,0,0.04900,0.01900,0.0004,0.0004,0.000893,-0.000649,40.2350,0.001672,-0.000244,32.6688,0.000846,-0.000574,40.0343,0.001642,-0.000182,32.5655,0.00002,-0.00042,-0.53548,1.08795,-0.52491,0.00463,0.00023,-0.00049,-0.53565,1.08829,-0.52514,0.00261,-0.00383,0.00011,-0.00384,0.00011,0.00156,0.00341,-0.08823,-1.24613,-0.10015,0.02001,0.00149,0.00313,-0.09109,-1.23920,-0.10237,0.01992,0.00956,0.00481,0.01005,0.00488,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0900,-0.00099,0.00001,0.45244,0.99999,0.00002,-0.00508,-0.00003,0.00884,-0.00001,0.29122,0.29530,0.01005,0.00016,2,0.02431,0,0.04900,0.01900,0.0026,0.0026,0.001035,-0.000705,40.2420,0.001702,-0.000265,32.6321,0.000983,-0.000631,40.0144,0.001668,-0.000203,32.5133,0.00004,-0.00048,-0.53680,1.09197,-0.52883,0.00514,0.00025,-0.00055,-0.53700,1.09237,-0.52910,0.00312,-0.00389,0.00018,-0.00391,0.00018,0.00143,0.00384,-0.08276,-1.25545,-0.08200,0.02119,0.00137,0.00356,-0.08599,-1.24764,-0.08450,0.02110,0.01172,0.00494,0.01205,0.00500,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0950,-0.00103,0.00002,0.45233,0.99999,0.00002,-0.00514,-0.00004,0.00882,-0.00001,0.29115,0.29530,0.01017,0.00017,2,0.02440,0,0.04900,0.01900,0.0040,0.0040,0.001163,-0.000764,40.2594,0.001765,-0.000286,32.6220,0.001105,-0.000691,40.0034,0.001727,-0.000224,32.4866,0.00007,-0.00055,-0.53804,1.09570,-0.53240,0.00568,0.00027,-0.00062,-0.53829,1.09617,-0.53272,0.00367,-0.00388,0.00025,-0.00390,0.00025,0.00125,0.00431,-0.07808,-1.26539,-0.06436,0.02238,0.00118,0.00403,-0.08169,-1.25665,-0.06716,0.02228,0.01304,0.00493,0.01318,0.00498,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
