t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,degraded,cop_lx,cop_ly,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.0000,-0.00064,0.00000,0.46168,1.00000,0.00000,-0.00196,0.00000,0.00856,-0.00000,0.30051,0.30051,0.00370,-0.00000,2,0.03434,0,0.04900,0.01900,-0.044990,-0.000057,27.8734,0.007182,-0.002494,32.6831,-0.044990,0.000057,27.8734,0.007182,0.002494,32.6831,-0.00011,0.00009,-0.54856,1.10723,-0.55428,0.00051,0.00011,-0.00009,-0.54856,1.10723,-0.55428,-0.00051,0.00018,-0.00042,0.00018,-0.00042,0.00011,-0.00061,-0.48390,-1.90368,-0.98005,0.00035,-0.00011,0.00061,-0.48390,-1.90368,-0.98005,-0.00035,-0.07239,-0.00683,-0.07239,-0.00683,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0050,-0.00069,0.00000,0.46173,1.00000,0.00000,-0.00204,-0.00000,0.00851,0.00000,0.30058,0.30051,0.00392,0.00000,2,0.03442,0,0.04900,0.01900,-0.026827,-0.000094,29.0688,-0.041476,-0.000132,29.4834,-0.026828,0.000081,29.0684,-0.041476,0.000132,29.4834,-0.00011,0.00009,-0.54867,1.10767,-0.55455,0.00045,0.00011,-0.00009,-0.54867,1.10767,-0.55455,-0.00045,0.00017,-0.00040,0.00017,-0.00040,-0.00004,-0.00221,-0.32968,-1.69656,-0.61675,0.00107,0.00004,0.00232,-0.32969,-1.69655,-0.61676,-0.00072,-0.04643,-0.00359,-0.04643,-0.00359,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0100,-0.00072,0.00000,0.46176,1.00000,0.00000,-0.00208,-0.00000,0.00849,0.00000,0.30063,0.30051,0.00407,0.00000,2,0.03448,0,0.04900,0.01900,-0.015951,-0.000126,29.8654,-0.025151,-0.000153,30.4466,-0.015953,0.000080,29.8639,-0.025151,0.000141,30.4462,-0.00010,0.00010,-0.54886,1.10826,-0.55497,0.00038,0.00010,-0.00010,-0.54886,1.10826,-0.55497,-0.00038,0.00015,-0.00037,0.00015,-0.00037,-0.00014,-0.00309,-0.23000,-1.56713,-0.38258,0.00190,0.00014,0.00349,-0.23002,-1.56706,-0.38260,-0.00063,-0.03033,-0.00164,-0.03033,-0.00164,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0150,-0.00074,0.00000,0.46179,1.00000,0.00000,-0.00210,-0.00000,0.00847,0.00000,0.30067,0.30051,0.00416,0.00000,2,0.03454,0,0.04900,0.01900,-0.009291,-0.000155,30.4006,-0.015184,-0.000174,31.0891,-0.009293,0.000063,30.3970,-0.015185,0.000131,31.0876,-0.00010,0.00011,-0.54908,1.10887,-0.55542,0.00031,0.00010,-0.00011,-0.54908,1.10887,-0.55542,-0.00031,0.00013,-0.00033,0.00013,-0.00033,-0.00019,-0.00349,-0.16470,-1.48611,-0.23092,0.00283,0.00019,0.00433,-0.16476,-1.48597,-0.23096,-0.00025,-0.02032,-0.00052,-0.02032,-0.00052,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0200,-0.00075,0.00000,0.46181,1.00000,0.00000,-0.00211,-0.00000,0.00846,0.00000,0.30071,0.30051,0.00421,0.00001,2,0.03459,0,0.04900,0.01900,-0.005136,-0.000182,30.7641,-0.009019,-0.000193,31.5210,-0.005139,0.000037,30.7576,-0.009021,0.000108,31.5175,-0.00010,0.00011,-0.54933,1.10944,-0.55583,0.00024,0.00010,-0.00012,-0.54933,1.10944,-0.55583,-0.00024,0.00010,-0.00030,0.00010,-0.00030,-0.00022,-0.00357,-0.12120,-1.43518,-0.13172,0.00380,0.00022,0.00493,-0.12131,-1.43491,-0.13179,0.00032,-0.01410,0.00010,-0.01410,0.00010,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0250,-0.00075,0.00000,0.46182,1.00000,0.00000,-0.00209,-0.00000,0.00846,0.00000,0.30073,0.30051,0.00421,0.00001,2,0.03463,0,0.04900,0.01900,-0.002504,-0.000208,31.0124,-0.005140,-0.000213,31.8196,-0.002509,0.000005,31.0021,-0.005144,0.000078,31.8131,-0.00010,0.00012,-0.54958,1.10993,-0.55617,0.00019,0.00010,-0.00012,-0.54958,1.10993,-0.55617,-0.00017,0.00008,-0.00026,0.00008,-0.00026,-0.00023,-0.00340,-0.09165,-1.40286,-0.06605,0.00479,0.00022,0.00536,-0.09184,-1.40244,-0.06617,0.00104,-0.01025,0.00041,-0.01025,0.00041,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0300,-0.00075,0.00000,0.46183,1.00000,0.00000,-0.00207,-0.00000,0.00846,0.00000,0.30076,0.30051,0.00419,0.00002,2,0.03467,0,0.04900,0.01900,-0.000815,-0.000233,31.1817,-0.002662,-0.000233,32.0285,-0.000821,-0.000032,31.1667,-0.002666,0.000044,32.0184,-0.00010,0.00012,-0.54982,1.11033,-0.55643,0.00014,0.00010,-0.00013,-0.54982,1.11033,-0.55643,-0.00012,0.00006,-0.00023,0.00006,-0.00023,-0.00022,-0.00307,-0.07114,-1.38202,-0.02200,0.00580,0.00022,0.00569,-0.07140,-1.38141,-0.02218,0.00185,-0.00788,0.00052,-0.00788,0.00052,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0350,-0.00074,0.00000,0.46185,1.00000,0.00000,-0.00204,-0.00000,0.00846,0.00000,0.30077,0.30051,0.00414,0.00002,2,0.03470,0,0.04900,0.01900,0.000283,-0.000258,31.2970,-0.001055,-0.000254,32.1755,0.000275,-0.000070,31.2764,-0.001061,0.000009,32.1607,-0.00010,0.00013,-0.55005,1.11063,-0.55660,0.00010,0.00010,-0.00014,-0.55005,1.11063,-0.55660,-0.00007,0.00004,-0.00019,0.00004,-0.00019,-0.00021,-0.00265,-0.05653,-1.36829,0.00797,0.00682,0.00020,0.00598,-0.05689,-1.36744,0.00773,0.00272,-0.00641,0.00053,-0.00642,0.00053,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0400,-0.00073,0.00000,0.46186,1.00000,0.00000,-0.00199,-0.00000,0.00846,0.00000,0.30079,0.30051,0.00407,0.00003,2,0.03472,0,0.04900,0.01900,0.001007,-0.000285,31.3754,0.000000,-0.000277,32.2792,0.000998,-0.000109,31.3484,-0.000007,-0.000028,32.2589,-0.00010,0.00013,-0.55026,1.11084,-0.55670,0.00007,0.00010,-0.00014,-0.55026,1.11084,-0.55670,-0.00002,0.00002,-0.00016,0.00002,-0.00016,-0.00020,-0.00217,-0.04583,-1.35895,0.02871,0.00786,0.00019,0.00628,-0.04632,-1.35783,0.02839,0.00364,-0.00550,0.00049,-0.00550,0.00049,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0450,-0.00072,0.00000,0.46187,1.00000,0.00000,-0.00195,-0.00000,0.00846,0.00000,0.30081,0.30051,0.00399,0.00004,2,0.03474,0,0.04900,0.01900,0.001493,-0.000313,31.4288,0.000706,-0.000302,32.3528,0.001482,-0.000148,31.3943,0.000697,-0.000064,32.3261,-0.00010,0.00013,-0.55046,1.11096,-0.55674,0.00005,0.00010,-0.00015,-0.55046,1.11097,-0.55674,0.00002,-0.00000,-0.00014,-0.00000,-0.00014,-0.00019,-0.00166,-0.03779,-1.35236,0.04332,0.00890,0.00017,0.00659,-0.03841,-1.35094,0.04291,0.00459,-0.00492,0.00044,-0.00493,0.00044,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0500,-0.00071,0.00000,0.46189,1.00000,0.00000,-0.00190,-0.00000,0.00847,0.00000,0.30082,0.30051,0.00390,0.00005,2,0.03476,0,0.04900,0.01900,0.001826,-0.000342,31.4654,0.001186,-0.000328,32.4054,0.001812,-0.000187,31.4226,0.001175,-0.000101,32.3713,-0.00010,0.00013,-0.55064,1.11102,-0.55671,0.00003,0.00010,-0.00016,-0.55064,1.11102,-0.55671,0.00006,-0.00003,-0.00011,-0.00003,-0.00011,-0.00018,-0.00113,-0.03157,-1.34751,0.05381,0.00994,0.00016,0.00694,-0.03233,-1.34575,0.05330,0.00557,-0.00454,0.00037,-0.00455,0.00037,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0550,-0.00069,0.00000,0.46190,1.00000,0.00000,-0.00184,-0.00000,0.00847,0.00000,0.30084,0.30051,0.00379,0.00006,2,0.03477,0,0.04900,0.01900,0.002059,-0.000372,31.4909,0.001519,-0.000355,32.4433,0.002043,-0.000226,31.4388,0.001506,-0.000137,32.4010,-0.00010,0.00012,-0.55080,1.11102,-0.55664,0.00003,0.00010,-0.00016,-0.55080,1.11102,-0.55665,0.00009,-0.00005,-0.00009,-0.00005,-0.00009,-0.00017,-0.00057,-0.02663,-1.34380,0.06148,0.01100,0.00015,0.00732,-0.02757,-1.34166,0.06087,0.00657,-0.00428,0.00030,-0.00429,0.00030,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0600,-0.00068,0.00001,0.46191,1.00000,0.00000,-0.00178,-0.00000,0.00847,0.00000,0.30085,0.30051,0.00368,0.00007,2,0.03478,0,0.04900,0.01900,0.002226,-0.000403,31.5092,0.001756,-0.000384,32.4713,0.002208,-0.000265,31.4469,0.001741,-0.000173,32.4198,-0.00010,0.00012,-0.55095,1.11097,-0.55654,0.00002,0.00010,-0.00017,-0.55096,1.11097,-0.55654,0.00013,-0.00008,-0.00007,-0.00008,-0.00007,-0.00017,-0.00000,-0.02263,-1.34085,0.06721,0.01206,0.00013,0.00774,-0.02374,-1.33829,0.06648,0.00760,-0.00409,0.00024,-0.00410,0.00024,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0650,-0.00066,0.00001,0.46193,1.00000,0.00000,-0.00172,-0.00000,0.00848,0.00000,0.30086,0.30051,0.00356,0.00008,2,0.03479,0,0.04900,0.01900,0.002350,-0.000435,31.5229,0.001929,-0.000414,32.4924,0.002329,-0.000304,31.4494,0.001911,-0.000209,32.4308,-0.00010,0.00011,-0.55109,1.11087,-0.55641,0.00003,0.00010,-0.00018,-0.55109,1.11088,-0.55641,0.00016,-0.00011,-0.00005,-0.00011,-0.00005,-0.00016,0.00059,-0.01932,-1.33843,0.07156,0.01313,0.00012,0.00819,-0.02063,-1.33541,0.07069,0.00864,-0.00394,0.00018,-0.00395,0.00018,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0700,-0.00065,0.00001,0.46194,1.00000,0.00000,-0.00166,-0.00000,0.00848,0.00000,0.30088,0.30051,0.00345,0.00009,2,0.03480,0,0.04900,0.01900,0.002444,-0.000469,31.5337,0.002058,-0.000444,32.5089,0.002420,-0.000342,31.4483,0.002037,-0.000245,32.4363,-0.00010,0.00010,-0.55122,1.11075,-0.55626,0.00004,0.00010,-0.00019,-0.55122,1.11075,-0.55626,0.00019,-0.00015,-0.00003,-0.00015,-0.00003,-0.00016,0.00119,-0.01653,-1.33641,0.07490,0.01421,0.00011,0.00868,-0.01806,-1.33290,0.07390,0.00970,-0.00380,0.00013,-0.00382,0.00013,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.0750,-0.00063,0.00001,0.46195,1.00000,0.00000,-0.00160,0.00000,0.00849,0.00001,0.30089,0.30051,0.00332,0.00011,2,0.03480,0,0.04900,0.01900,0.002517,-0.000503,31.5429,0.002157,-0.000476,32.5224,0.002489,-0.000381,31.4446,0.002133,-0.000281,32.4380,-0.00010,0.00009,-0.55133,1.11059,-0.55609,0.00005,0.00010,-0.00020,-0.55134,1.11060,-0.55609,0.00022,-0.00018,-0.00002,-0.00018,-0.00002,-0.00016,0.00182,-0.01416,-1.33469,0.07752,0.01531,0.00010,0.00921,-0.01592,-1.33065,0.07636,0.01077,-0.00369,0.00008,-0.00370,0.00008,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
