phase,z,pitch,vx,vz,w
0.01000,0.249198,0.005470,2.693384,-0.023533,1.863762
0.03000,0.248992,0.012883,2.697768,-0.075938,1.836700
0.05000,0.248576,0.019989,2.693519,-0.111809,1.774542
0.07000,0.248007,0.026685,2.682405,-0.131556,1.657366
0.09000,0.247682,0.032164,2.672121,-0.135637,1.545404
0.11000,0.247214,0.037156,2.656982,-0.126192,1.354594
0.13000,0.246727,0.041734,2.640590,-0.100878,1.117597
0.15000,0.246438,0.045325,2.623544,-0.065688,0.888458
0.17000,0.246350,0.048371,2.616968,-0.020570,0.610975
0.19000,0.246279,0.049979,2.613834,0.028667,0.293437
0.21000,0.246505,0.050064,2.603931,0.082140,-0.090040
0.23000,0.246906,0.048934,2.603227,0.129049,-0.435642
0.25000,0.247494,0.046632,2.605575,0.162441,-0.710066
0.27000,0.248066,0.044119,2.615042,0.182520,-0.899429
0.29000,0.248716,0.041012,2.623505,0.190964,-1.033696
0.31000,0.249397,0.036602,2.622732,0.190208,-1.146591
0.33000,0.250103,0.032362,2.629252,0.181975,-1.212055
0.35000,0.250727,0.027528,2.623000,0.162805,-1.242055
0.37000,0.251326,0.023565,2.615175,0.135339,-1.246330
0.39000,0.251650,0.018595,2.611697,0.111122,-1.277576
0.41000,0.252075,0.014565,2.594981,0.076970,-1.295985
0.43000,0.252272,0.009652,2.580139,0.036587,-1.330101
0.45000,0.252403,0.004593,2.565592,-0.009380,-1.362116
0.47000,0.252105,-0.000972,2.554680,-0.067610,-1.418690
0.49000,0.251885,-0.005324,2.556225,-0.119295,-1.547026
0.51000,0.251380,-0.010884,2.559902,-0.167477,-1.751590
0.53000,0.250539,-0.018838,2.563755,-0.219266,-1.940010
0.55000,0.249813,-0.025641,2.568135,-0.257866,-2.030947
0.57000,0.248757,-0.032702,2.567046,-0.281195,-2.006538
0.59000,0.247760,-0.040113,2.568578,-0.289920,-1.899158
0.61000,0.246686,-0.046744,2.555457,-0.285670,-1.676503
0.63000,0.245693,-0.051537,2.548505,-0.269905,-1.435308
0.65000,0.244733,-0.057040,2.541630,-0.236610,-1.119568
0.67000,0.243963,-0.060013,2.536777,-0.196658,-0.794205
0.69000,0.243376,-0.062643,2.529351,-0.148525,-0.474121
0.71000,0.242929,-0.063204,2.524570,-0.096785,-0.157440
0.73000,0.242730,-0.063549,2.526709,-0.036209,0.175072
0.75000,0.242641,-0.062187,2.527516,0.017933,0.441046
0.77000,0.242831,-0.060269,2.536300,0.069343,0.666482
0.79000,0.243201,-0.057665,2.552020,0.116085,0.893137
0.81000,0.243652,-0.053990,2.558502,0.154173,1.069978
0.83000,0.244237,-0.049609,2.572057,0.186102,1.236991
0.85000,0.245045,-0.044900,2.580959,0.210719,1.403328
0.87000,0.245733,-0.039142,2.596744,0.220874,1.545172
0.89000,0.246602,-0.034097,2.615359,0.222328,1.679674
0.91000,0.247388,-0.027867,2.622296,0.210748,1.806932
0.93000,0.248127,-0.020858,2.634681,0.184193,1.885888
0.95000,0.248764,-0.013499,2.652587,0.140282,1.958124
0.97000,0.249104,-0.005855,2.674141,0.077062,1.925384
0.99000,0.249263,-0.000138,2.690558,0.023729,1.887371
