rev,vy,first_swing,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived,cond,MOM,KP_MOM,MOM_LEVEL,MOM_AXES
v6,+0.030,1,40,93,0.465,0.262,11.8,1.00,114,5,582,27.2,,6.338,SURVIVED,post< kp=3,1,3,post_after,
v6,-0.030,0,40,93,0.465,0.262,11.8,1.00,114,8,558,25.6,,6.338,SURVIVED,post< kp=3,1,3,post_after,
v6,+0.055,1,5,0,0.421,0.539,130.3,1.00,206,0,112,425.9,4.375,6.338,FELL,post< kp=3,1,3,post_after,
v6,-0.055,0,5,-0,0.425,0.521,168.0,1.00,203,3,115,421.6,4.390,6.338,FELL,post< kp=3,1,3,post_after,
v6,+0.036,0,40,101,0.476,0.005,11.5,1.00,62,4,682,21.5,,6.338,SURVIVED,post< kp=3,1,3,post_after,
v6,-0.055,1,9,-314,0.409,0.522,376.7,1.01,195,10,179,424.9,6.515,6.338,FELL,post< kp=3,1,3,post_after,
v6,-0.036,1,40,101,0.476,0.005,11.5,1.00,67,3,684,21.5,,6.338,SURVIVED,post< kp=3,1,3,post_after,
v6,+0.022,1,5,0,0.459,0.523,135.6,1.00,148,2,94,353.9,4.405,6.338,FELL,post< kp=30,1,30,post_after,
v6,-0.022,0,5,-0,0.456,0.521,136.9,1.00,161,4,94,353.6,4.405,6.338,FELL,post< kp=30,1,30,post_after,
v6,+0.026,0,6,0,0.440,0.538,162.8,1.00,204,10,106,392.9,4.965,6.338,FELL,post< kp=30,1,30,post_after,
v6,+0.026,1,4,0,0.428,0.525,280.5,1.00,169,5,73,365.5,4.010,6.338,FELL,post< kp=30,1,30,post_after,
v6,-0.026,1,6,-0,0.421,0.532,297.3,1.00,205,3,108,391.8,5.025,6.338,FELL,post< kp=30,1,30,post_after,
v6,+0.018,0,40,105,0.476,0.005,11.4,1.00,63,9,460,21.7,,6.338,SURVIVED,post< kp=30,1,30,post_after,
v6,+0.018,1,40,89,0.465,0.268,15.3,1.00,117,6,493,25.8,,6.338,SURVIVED,post< kp=30,1,30,post_after,
v6,-0.018,0,40,90,0.460,0.318,55.4,1.00,119,9,513,89.4,,6.338,SURVIVED,post< kp=30,1,30,post_after,
v6,-0.018,1,40,105,0.476,0.005,11.5,1.00,62,8,463,21.8,,6.338,SURVIVED,post< kp=30,1,30,post_after,
v6,+0.022,0,40,104,0.476,0.005,11.7,1.00,63,8,483,20.8,,6.338,SURVIVED,post< kp=30,1,30,post_after,
v6,-0.030,1,6,-0,0.422,0.531,281.3,1.00,202,2,105,438.8,5.010,6.338,FELL,post< kp=30,1,30,post_after,
v6,+0.036,1,5,0,0.436,0.524,244.3,1.00,202,0,94,422.4,4.430,6.338,FELL,post< kp=30,1,30,post_after,
v6,-0.022,1,40,104,0.476,0.005,11.7,1.00,62,4,482,21.4,,6.338,SURVIVED,post< kp=30,1,30,post_after,
v6,-0.036,0,5,-0,0.434,0.523,252.7,1.00,202,0,93,422.4,4.435,6.338,FELL,post< kp=30,1,30,post_after,
v6,+0.045,0,4,0,0.420,0.539,296.8,1.00,205,1,78,386.9,3.930,6.338,FELL,post< kp=30,1,30,post_after,
v6,-0.026,0,40,92,0.466,0.235,13.1,1.01,110,7,565,27.4,,6.338,SURVIVED,post< kp=30,1,30,post_after,
v6,+0.045,1,9,224,0.444,0.532,96.0,1.00,158,18,190,823.0,6.600,6.338,FELL,post< kp=30,1,30,post_after,
v6,-0.045,0,9,334,0.441,0.527,149.9,1.01,190,3,192,706.7,6.640,6.338,FELL,post< kp=30,1,30,post_after,
v6,+0.030,0,40,102,0.476,0.006,11.8,1.00,63,3,541,20.4,,6.338,SURVIVED,post< kp=30,1,30,post_after,
