cell,impulse,push_dt,verdict,steps,achieved,dcm,cop,ankle,degraded,selfcol,openloop,fell_t,survived,fired,stance,budget,peak_dcm,peak_tilt,push_degraded,recover_s,push_cop,push_ankle,spill,edge_pct,edge_leave,xfer_t,impact,fz_min,unloaded,slid,verdict_push
left ss,0.6000,0.2,absorbed,20,vx: +0.0515 / +0.0550 m/s (94%)   vy: -0.0041 m/s (drift),14.9,1.00,100,14,0,0,,SURVIVED,4.930,SS/R,0.70,14.9,0.013,11,,1.00,100,0.030,65,65,0.375,1.22,0.92,0,155,absorbed
right ss,0.6000,0.05,fell,6,vx: +0.0000 / +0.0550 m/s (0%),255.6,1.01,212,24,6,0,5.235,FELL,4.930,SS/R,0.70,255.6,0.548,21,,1.01,212,,,,,1.74,0.00,110,15,fell
right ss,0.6000,0.1,recovered,20,vx: +0.0513 / +0.0550 m/s (93%)   vy: -0.0010 m/s (drift)   wz: -0.0164 rad/s (drift),24.7,1.00,110,33,0,0,,SURVIVED,4.930,SS/R,0.70,24.7,0.131,30,0.240,1.00,110,,0,0,0.375,1.40,0.56,0,145,recovered
right ss,0.6000,0.15,absorbed,20,vx: +0.0512 / +0.0550 m/s (93%)   vy: -0.0016 m/s (drift)   wz: -0.0177 rad/s (drift),18.8,1.00,107,16,0,0,,SURVIVED,4.930,SS/R,0.70,18.8,0.128,13,,1.00,107,,0,0,0.375,1.36,0.71,0,140,absorbed
right ss,0.6000,0.2,absorbed,20,vx: +0.0512 / +0.0550 m/s (93%)   vy: -0.0020 m/s (drift)   wz: -0.0166 rad/s (drift),13.7,1.00,107,17,0,0,,SURVIVED,4.930,SS/R,0.70,13.7,0.119,14,,1.00,107,0.030,0,0,0.375,1.38,0.63,5,150,absorbed
diag ss,0.7000,0.05,fell,7,vx: +0.2124 / +0.0550 m/s (386%)   vy: +0.1730 m/s (drift)   wz: +0.0045 rad/s (drift),125.7,1.00,129,22,0,0,5.790,FELL,4.930,SS/R,1.00,125.7,0.524,19,,1.00,129,,100,,0.375,1.24,0.62,30,20,fell
diag ss,0.7000,0.1,absorbed,20,vx: +0.0512 / +0.0550 m/s (93%)   vy: -0.0039 m/s (drift),14.3,1.00,71,16,0,0,,SURVIVED,4.930,SS/R,1.00,14.3,0.012,13,,1.00,71,,0,0,0.375,1.23,0.94,0,140,absorbed
diag ss,0.7000,0.15,absorbed,20,vx: +0.0511 / +0.0550 m/s (93%)   vy: -0.0038 m/s (drift),14.9,1.00,73,17,0,0,,SURVIVED,4.930,SS/R,1.00,14.9,0.011,14,,1.00,73,,0,0,0.375,1.21,0.94,0,135,absorbed
diag ss,0.7000,0.2,absorbed,20,vx: +0.0513 / +0.0550 m/s (93%)   vy: -0.0037 m/s (drift),11.2,1.00,64,10,0,0,,SURVIVED,4.930,SS/R,1.00,11.2,0.010,7,,1.00,64,0.030,5,5,0.375,1.21,0.94,0,150,absorbed
left ds (mirror),0.9500,0.05,recovered,20,vx: +0.0510 / +0.0550 m/s (93%)   vy: -0.0028 m/s (drift),21.1,1.00,116,27,0,0,,SURVIVED,5.705,DS,0.70,21.1,0.129,24,0.055,1.00,116,,100,,0.145,1.36,0.79,5,115,recovered
left ds (mirror),0.9500,0.1,absorbed,20,vx: +0.0519 / +0.0550 m/s (94%)   vy: -0.0033 m/s (drift),15.8,1.00,65,11,0,0,,SURVIVED,5.705,DS,0.70,15.8,0.012,8,,1.00,65,,43,5,0.145,2.08,0.67,0,120,absorbed
left ds (mirror),0.9500,0.15,fell,10,vx: +0.0815 / +0.0550 m/s (148%)   vy: -0.1578 m/s (drift)   wz: -0.0469 rad/s (drift),412.6,1.00,140,57,10,0,7.405,FELL,5.705,DS,0.70,412.6,0.528,54,,1.00,140,0.005,100,,0.145,1.19,0.95,115,30,fell
left ds (mirror),0.9500,0.2,fell,9,vx: +0.0121 / +0.0550 m/s (22%)   vy: +0.0225 m/s (drift)   wz: +0.0080 rad/s (drift),42.6,1.00,142,8,0,0,6.695,FELL,5.705,DS,0.70,42.6,0.533,5,,1.00,142,0.055,29,30,0.145,1.36,0.73,25,25,fell
left ss (mirror),0.4500,0.05,fell,8,vx: +0.1636 / +0.0550 m/s (298%)   vy: +0.0950 m/s (drift)   wz: -0.0898 rad/s (drift),108.7,1.00,184,56,31,2,6.165,FELL,5.475,SS/L,0.70,108.7,0.522,53,,1.00,184,,81,20,0.375,1.27,0.32,115,60,fell
left ss (mirror),0.4500,0.1,absorbed,20,vx: +0.0528 / +0.0550 m/s (96%)   vy: -0.0028 m/s (drift),13.8,1.00,108,29,0,0,,SURVIVED,5.475,SS/L,0.70,13.8,0.103,26,,1.00,108,,0,0,0.375,1.32,0.65,5,135,absorbed
left ss (mirror),0.4500,0.15,absorbed,20,vx: +0.0529 / +0.0550 m/s (96%)   vy: -0.0028 m/s (drift),13.6,1.00,109,23,0,0,,SURVIVED,5.475,SS/L,0.70,13.6,0.099,20,,1.00,109,,0,0,0.375,1.36,0.72,10,130,absorbed
left ss (mirror),0.4500,0.2,absorbed,20,vx: +0.0529 / +0.0550 m/s (96%)   vy: -0.0027 m/s (drift),13.3,1.00,110,30,0,0,,SURVIVED,5.475,SS/L,0.70,13.3,0.093,27,,1.00,110,0.025,0,0,0.375,1.39,0.00,10,150,absorbed
right ds (mirror),0.4500,0.05,absorbed,20,vx: +0.0520 / +0.0550 m/s (94%)   vy: -0.0033 m/s (drift),11.0,1.00,85,14,0,0,,SURVIVED,5.705,DS,0.70,11.0,0.005,11,,1.00,85,,100,,0.145,1.30,0.94,0,130,absorbed
right ds (mirror),0.4500,0.1,absorbed,20,vx: +0.0520 / +0.0550 m/s (94%)   vy: -0.0032 m/s (drift),9.8,1.00,64,17,0,0,,SURVIVED,5.705,DS,0.70,9.8,0.005,14,,1.00,64,,100,,0.145,1.32,0.57,0,115,absorbed
right ds (mirror),0.4500,0.15,absorbed,20,vx: +0.0524 / +0.0550 m/s (95%)   vy: -0.0034 m/s (drift),16.3,1.01,106,26,0,0,,SURVIVED,5.705,DS,0.70,16.3,0.052,23,,1.01,106,0.005,100,,0.145,1.36,0.68,0,120,absorbed
right ds (mirror),0.4500,0.2,fell,10,vx: +0.0462 / +0.0550 m/s (84%)   vy: +0.0852 m/s (drift)   wz: +0.2467 rad/s (drift),286.9,1.00,211,41,4,0,7.055,FELL,5.705,DS,0.70,286.9,0.522,38,,1.00,211,0.055,100,,0.145,1.32,0.44,135,30,fell
right ss (mirror),0.5500,0.05,absorbed,20,vx: +0.0519 / +0.0550 m/s (94%)   vy: -0.0033 m/s (drift),17.7,1.00,64,14,0,0,,SURVIVED,5.475,SS/L,0.70,17.7,0.007,11,,1.00,64,,0,0,0.375,1.38,0.73,0,120,absorbed
right ss (mirror),0.5500,0.1,absorbed,20,vx: +0.0519 / +0.0550 m/s (94%)   vy: -0.0033 m/s (drift),14.7,1.00,72,14,0,0,,SURVIVED,5.475,SS/L,0.70,14.7,0.007,11,,1.00,72,,0,0,0.375,1.21,0.60,0,115,absorbed
right ss (mirror),0.5500,0.15,absorbed,20,vx: +0.0519 / +0.0550 m/s (94%)   vy: -0.0033 m/s (drift),12.3,1.00,64,14,0,0,,SURVIVED,5.475,SS/L,0.70,12.3,0.006,11,,1.00,64,,0,0,0.375,1.22,0.92,0,125,absorbed
right ss (mirror),0.5500,0.2,absorbed,20,vx: +0.0520 / +0.0550 m/s (95%)   vy: -0.0033 m/s (drift),9.9,1.00,80,14,0,0,,SURVIVED,5.475,SS/L,0.70,9.9,0.005,11,,1.00,80,0.025,0,0,0.375,1.22,0.94,0,125,absorbed
