rev,vy,first_swing,SOLE_HALF_W,ARM_HOLD,ARM_HOLD_JOINTS,KP_ARM,KD_ARM,ARM_PITCH,ELBOW,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived,cond,JAB,JAB_PERIOD,JAB_PATTERN
v6_rec_box,+0.055,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,100,0.476,0.002,10.5,1.00,56,9,0,0.0,,6.862,SURVIVED,v6_rec_box guard,,,
v6_rec_box,-0.065,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,100,0.476,0.003,10.5,1.00,59,6,36,6.0,,6.862,SURVIVED,v6_rec_box guard,,,
v6_rec_box,+0.055,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,95,0.476,0.002,10.5,1.00,57,8,0,0.0,,6.862,SURVIVED,v6_rec_box guard,,,
v6_rec_box,-0.065,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,96,0.476,0.003,10.5,1.00,59,15,40,6.1,,6.862,SURVIVED,v6_rec_box guard,,,
v7,+0.018,0,,,,,,,,,,,,,,,,,,,,FELL,v7 arms free,,,
v7,+0.018,1,,,,,,,,,,,,,,,,,,,,FELL,v7 arms free,,,
v7,-0.018,0,,,,,,,,,,,,,,,,,,,,FELL,v7 arms free,,,
v7,-0.018,1,,,,,,,,,,,,,,,,,,,,FELL,v7 arms free,,,
v7,+0.026,0,,,,,,,,,,,,,,,,,,,,FELL,v7 arms free,,,
v7,+0.026,1,,,,,,,,,,,,,,,,,,,,FELL,v7 arms free,,,
v7,-0.026,0,,,,,,,,,,,,,,,,,,,,FELL,v7 arms free,,,
v7,-0.026,1,,,,,,,,,,,,,,,,,,,,FELL,v7 arms free,,,
v7,+0.036,0,,,,,,,,,,,,,,,,,,,,FELL,v7 arms free,,,
v7,+0.036,1,,,,,,,,,,,,,,,,,,,,FELL,v7 arms free,,,
v7,-0.036,0,,,,,,,,,,,,,,,,,,,,FELL,v7 arms free,,,
v7,-0.036,1,,,,,,,,,,,,,,,,,,,,FELL,v7 arms free,,,
v7,+0.045,0,,,,,,,,,,,,,,,,,,,,FELL,v7 arms free,,,
v7,+0.045,1,,,,,,,,,,,,,,,,,,,,FELL,v7 arms free,,,
v7,-0.045,0,,,,,,,,,,,,,,,,,,,,FELL,v7 arms free,,,
v7,-0.045,1,,,,,,,,,,,,,,,,,,,,FELL,v7 arms free,,,
v7,+0.055,0,,,,,,,,,,,,,,,,,,,,FELL,v7 arms free,,,
v7,+0.055,1,,,,,,,,,,,,,,,,,,,,FELL,v7 arms free,,,
v7,-0.055,0,,,,,,,,,,,,,,,,,,,,FELL,v7 arms free,,,
v7,-0.055,1,,,,,,,,,,,,,,,,,,,,FELL,v7 arms free,,,
v7,+0.065,0,,,,,,,,,,,,,,,,,,,,FELL,v7 arms free,,,
v7,+0.065,1,,,,,,,,,,,,,,,,,,,,FELL,v7 arms free,,,
v7,-0.065,0,,,,,,,,,,,,,,,,,,,,FELL,v7 arms free,,,
v7,-0.065,1,,,,,,,,,,,,,,,,,,,,FELL,v7 arms free,,,
v7,+0.073,0,,,,,,,,,,,,,,,,,,,,FELL,v7 arms free,,,
v7,+0.073,1,,,,,,,,,,,,,,,,,,,,FELL,v7 arms free,,,
v7,-0.073,0,,,,,,,,,,,,,,,,,,,,FELL,v7 arms free,,,
v7,-0.073,1,,,,,,,,,,,,,,,,,,,,FELL,v7 arms free,,,
v6_rec_box,-0.055,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,100,0.476,0.002,10.5,1.00,56,6,0,0.0,,6.862,SURVIVED,v6_rec_box guard,,,
v6_rec_box,+0.065,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,96,0.476,0.003,10.5,1.00,58,7,37,6.0,,6.862,SURVIVED,v6_rec_box guard,,,
v6_rec_box,+0.065,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,100,0.476,0.003,10.5,1.00,58,10,38,6.0,,6.862,SURVIVED,v6_rec_box guard,,,
v6_rec_box,+0.073,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,99,0.476,0.008,12.1,1.00,73,11,258,20.4,,6.862,SURVIVED,v6_rec_box guard,,,
v6_rec_box,-0.073,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,96,0.476,0.008,13.8,1.00,80,4,405,46.5,,6.862,SURVIVED,v6_rec_box guard,,,
v6_rec_box,+0.073,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,96,0.476,0.008,23.5,1.00,119,21,396,56.7,,6.862,SURVIVED,v6_rec_box guard,,,
v6_rec_box,-0.073,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,99,0.476,0.008,17.7,1.00,88,11,343,60.4,,6.862,SURVIVED,v6_rec_box guard,,,
v8,+0.018,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,90,0.475,0.003,9.3,1.00,60,11,0,0.0,,6.075,SURVIVED,v8 guard,,,
v8,-0.018,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,105,0.475,0.003,9.3,1.00,60,5,0,0.0,,6.075,SURVIVED,v8 guard,,,
v8,+0.018,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,105,0.475,0.003,9.3,1.00,60,13,0,0.0,,6.075,SURVIVED,v8 guard,,,
v8,-0.018,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,90,0.475,0.003,9.3,1.00,60,9,0,0.0,,6.075,SURVIVED,v8 guard,,,
v8,+0.026,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,92,0.475,0.003,9.3,1.00,60,7,0,0.0,,6.075,SURVIVED,v8 guard,,,
v8,+0.026,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,103,0.475,0.003,9.3,1.00,60,8,0,0.0,,6.075,SURVIVED,v8 guard,,,
v8,-0.026,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,92,0.475,0.003,9.3,1.00,60,3,0,0.0,,6.075,SURVIVED,v8 guard,,,
v8,-0.026,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,103,0.475,0.003,9.3,1.00,60,1,0,0.0,,6.075,SURVIVED,v8 guard,,,
v8,+0.036,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,94,0.475,0.003,9.3,1.00,60,3,0,0.0,,6.075,SURVIVED,v8 guard,,,
v8,-0.036,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,94,0.475,0.003,9.3,1.00,60,5,0,0.0,,6.075,SURVIVED,v8 guard,,,
v8,+0.036,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,101,0.475,0.003,9.3,1.00,60,5,0,0.0,,6.075,SURVIVED,v8 guard,,,
v8,-0.036,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,101,0.475,0.003,9.3,1.00,60,7,0,0.0,,6.075,SURVIVED,v8 guard,,,
v8,+0.045,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,101,0.475,0.003,9.3,1.00,60,6,0,0.0,,6.075,SURVIVED,v8 guard,,,
v8,+0.045,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,95,0.475,0.003,9.3,1.00,60,2,0,0.0,,6.075,SURVIVED,v8 guard,,,
v8,+0.055,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,95,0.475,0.006,9.3,1.00,60,6,0,0.0,,6.075,SURVIVED,v8 guard,,,
v8,+0.055,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,100,0.475,0.006,9.3,1.00,60,5,0,0.0,,6.075,SURVIVED,v8 guard,,,
v8,-0.045,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,95,0.475,0.003,9.3,1.00,60,8,0,0.0,,6.075,SURVIVED,v8 guard,,,
v8,-0.055,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,95,0.475,0.006,9.3,1.00,60,3,0,0.0,,6.075,SURVIVED,v8 guard,,,
v8,-0.045,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,101,0.475,0.003,9.3,1.00,60,6,0,0.0,,6.075,SURVIVED,v8 guard,,,
v8,-0.055,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,100,0.475,0.005,9.3,1.00,60,6,0,0.0,,6.075,SURVIVED,v8 guard,,,
v8,+0.073,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,19,29,0.414,0.537,383.3,1.00,198,22,274,139.1,12.085,6.075,FELL,v8 guard,,,
v8,+0.065,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,100,0.475,0.024,18.0,1.00,122,35,108,51.5,,6.075,SURVIVED,v8 guard,,,
v8,+0.065,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,95,0.475,0.016,20.4,1.00,91,20,159,59.8,,6.075,SURVIVED,v8 guard,,,
v8,+0.073,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,99,0.475,0.020,22.3,1.00,97,13,245,44.8,,6.075,SURVIVED,v8 guard,,,
v8,-0.065,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,95,0.475,0.015,18.1,1.00,71,16,109,15.5,,6.075,SURVIVED,v8 guard,,,
v8,-0.065,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,100,0.475,0.014,19.8,1.00,69,15,136,18.4,,6.075,SURVIVED,v8 guard,,,
v8,-0.073,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,96,0.475,0.016,14.8,1.00,86,15,420,48.4,,6.075,SURVIVED,v8 guard,,,
v8,-0.073,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,87,0.421,0.522,426.1,1.00,195,40,363,79.7,23.555,6.075,FELL,v8 guard,,,
v8,+0.018,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,105,0.472,0.007,9.3,1.00,60,15,0,0.0,,6.075,SURVIVED,v8 guard + jab,1,0.70,LLRR
v8,+0.018,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,90,0.472,0.007,9.3,1.00,60,15,0,0.0,,6.075,SURVIVED,v8 guard + jab,1,0.70,LLRR
v8,-0.018,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,105,0.472,0.007,9.3,1.00,60,8,0,0.0,,6.075,SURVIVED,v8 guard + jab,1,0.70,LLRR
v8,-0.018,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,90,0.472,0.007,9.3,1.00,60,10,0,0.0,,6.075,SURVIVED,v8 guard + jab,1,0.70,LLRR
v8,+0.026,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,92,0.472,0.007,9.3,1.00,60,17,0,0.0,,6.075,SURVIVED,v8 guard + jab,1,0.70,LLRR
v8,+0.026,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,103,0.472,0.007,9.3,1.00,60,15,0,0.0,,6.075,SURVIVED,v8 guard + jab,1,0.70,LLRR
v8,-0.026,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,103,0.472,0.007,9.3,1.00,60,11,0,0.0,,6.075,SURVIVED,v8 guard + jab,1,0.70,LLRR
v8,-0.026,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,92,0.472,0.008,9.3,1.00,60,17,0,0.0,,6.075,SURVIVED,v8 guard + jab,1,0.70,LLRR
v8,+0.036,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,101,0.472,0.007,9.3,1.00,60,15,0,0.0,,6.075,SURVIVED,v8 guard + jab,1,0.70,LLRR
v8,+0.036,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,94,0.472,0.007,9.3,1.00,60,17,0,0.0,,6.075,SURVIVED,v8 guard + jab,1,0.70,LLRR
v8,-0.036,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,101,0.472,0.007,9.3,1.00,60,17,0,0.0,,6.075,SURVIVED,v8 guard + jab,1,0.70,LLRR
v8,-0.036,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,94,0.472,0.007,9.3,1.00,60,15,0,0.0,,6.075,SURVIVED,v8 guard + jab,1,0.70,LLRR
v8,+0.045,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,101,0.472,0.007,9.3,1.00,60,18,0,0.0,,6.075,SURVIVED,v8 guard + jab,1,0.70,LLRR
v8,-0.045,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,101,0.472,0.007,9.3,1.00,60,23,0,0.0,,6.075,SURVIVED,v8 guard + jab,1,0.70,LLRR
v8,+0.045,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,94,0.472,0.007,9.3,1.00,60,15,0,0.0,,6.075,SURVIVED,v8 guard + jab,1,0.70,LLRR
v8,-0.045,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,95,0.472,0.007,9.3,1.00,60,18,0,0.0,,6.075,SURVIVED,v8 guard + jab,1,0.70,LLRR
v8,+0.055,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,100,0.472,0.010,15.8,1.00,60,36,0,0.0,,6.075,SURVIVED,v8 guard + jab,1,0.70,LLRR
v8,+0.065,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,33,118,0.441,0.524,155.3,1.01,178,72,113,205.0,19.685,6.075,FELL,v8 guard + jab,1,0.70,LLRR
v8,+0.055,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,95,0.472,0.010,14.4,1.00,60,33,4,1.7,,6.075,SURVIVED,v8 guard + jab,1,0.70,LLRR
v8,-0.055,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,95,0.472,0.022,10.0,1.00,70,45,4,4.4,,6.075,SURVIVED,v8 guard + jab,1,0.70,LLRR
v8,-0.055,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,100,0.472,0.024,16.8,1.00,61,63,4,3.8,,6.075,SURVIVED,v8 guard + jab,1,0.70,LLRR
v8,+0.073,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,20,88,0.386,0.538,291.7,1.00,202,77,84,263.8,12.725,6.075,FELL,v8 guard + jab,1,0.70,LLRR
v8,-0.065,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,96,0.472,0.016,20.2,1.00,107,45,181,52.0,,6.075,SURVIVED,v8 guard + jab,1,0.70,LLRR
v8,+0.065,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,96,0.472,0.020,19.1,1.00,87,51,231,37.1,,6.075,SURVIVED,v8 guard + jab,1,0.70,LLRR
v8,-0.065,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,100,0.472,0.027,20.7,1.00,110,46,30,8.6,,6.075,SURVIVED,v8 guard + jab,1,0.70,LLRR
v8,+0.073,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,18,104,0.437,0.540,169.1,1.00,202,53,11,326.8,11.505,6.075,FELL,v8 guard + jab,1,0.70,LLRR
v8,-0.073,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,21,123,0.424,0.550,124.9,1.00,178,47,65,137.3,13.260,6.075,FELL,v8 guard + jab,1,0.70,LLRR
v8,-0.073,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,96,0.472,0.026,23.7,1.00,135,41,144,37.7,,6.075,SURVIVED,v8 guard + jab,1,0.70,LLRR
v8_light,+0.018,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,106,0.474,0.003,12.0,1.00,63,9,0,0.0,,5.551,SURVIVED,v8_light guard,,,
v8_light,+0.018,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,89,0.474,0.003,12.0,1.00,64,6,0,0.0,,5.551,SURVIVED,v8_light guard,,,
v8_light,+0.026,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,103,0.474,0.003,12.0,1.00,63,8,0,0.0,,5.551,SURVIVED,v8_light guard,,,
v8_light,-0.018,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,89,0.474,0.003,12.0,1.00,64,3,0,0.0,,5.551,SURVIVED,v8_light guard,,,
v8_light,-0.018,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,106,0.474,0.003,12.0,1.00,63,4,0,0.0,,5.551,SURVIVED,v8_light guard,,,
v8_light,+0.026,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,92,0.474,0.003,12.0,1.00,64,3,0,0.0,,5.551,SURVIVED,v8_light guard,,,
v8_light,-0.026,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,92,0.474,0.003,12.0,1.00,64,4,0,0.0,,5.551,SURVIVED,v8_light guard,,,
v8_light,-0.026,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,103,0.474,0.003,12.0,1.00,63,1,0,0.0,,5.551,SURVIVED,v8_light guard,,,
v8_light,+0.036,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,102,0.474,0.003,12.0,1.00,63,8,0,0.0,,5.551,SURVIVED,v8_light guard,,,
v8_light,-0.036,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,93,0.474,0.003,12.0,1.00,64,1,0,0.0,,5.551,SURVIVED,v8_light guard,,,
v8_light,+0.036,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,93,0.474,0.003,12.0,1.00,64,8,0,0.0,,5.551,SURVIVED,v8_light guard,,,
v8_light,-0.036,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,102,0.474,0.003,12.0,1.00,63,3,0,0.0,,5.551,SURVIVED,v8_light guard,,,
v8_light,+0.045,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,101,0.474,0.003,12.0,1.00,63,1,0,0.0,,5.551,SURVIVED,v8_light guard,,,
v8_light,+0.045,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,94,0.474,0.003,12.0,1.00,64,0,0,0.0,,5.551,SURVIVED,v8_light guard,,,
v8_light,-0.045,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,94,0.474,0.003,12.0,1.00,64,3,0,0.0,,5.551,SURVIVED,v8_light guard,,,
v8_light,-0.045,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,101,0.474,0.003,12.0,1.00,63,3,0,0.0,,5.551,SURVIVED,v8_light guard,,,
v8_light,-0.065,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,11,-126,0.380,0.553,318.1,1.00,204,26,152,271.3,7.650,5.551,FELL,v8_light guard,,,
v8_light,+0.055,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,100,0.474,0.014,17.6,1.00,63,39,0,0.0,,5.551,SURVIVED,v8_light guard,,,
v8_light,+0.073,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,9,385,0.363,0.533,270.4,1.00,131,38,64,51.3,6.560,5.551,FELL,v8_light guard,,,
v8_light,+0.055,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,95,0.474,0.013,18.0,1.00,64,19,0,0.0,,5.551,SURVIVED,v8_light guard,,,
v8_light,-0.055,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,95,0.474,0.013,18.2,1.00,64,35,0,0.0,,5.551,SURVIVED,v8_light guard,,,
v8_light,-0.055,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,100,0.474,0.013,17.1,1.00,63,32,0,0.0,,5.551,SURVIVED,v8_light guard,,,
v8_light,+0.065,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,100,0.474,0.019,16.5,1.00,82,6,61,12.5,,5.551,SURVIVED,v8_light guard,,,
v8_light,-0.073,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,17,178,0.400,0.552,287.1,1.00,179,28,138,60.3,10.840,5.551,FELL,v8_light guard,,,
v8_light,+0.065,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,95,0.474,0.021,17.3,1.00,87,8,25,7.2,,5.551,SURVIVED,v8_light guard,,,
v8_light,-0.065,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,100,0.474,0.019,26.7,1.00,88,7,81,19.5,,5.551,SURVIVED,v8_light guard,,,
v8_light,-0.073,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,96,0.474,0.026,17.7,1.00,112,24,4,5.3,,5.551,SURVIVED,v8_light guard,,,
v8_light,+0.073,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,96,0.474,0.025,19.0,1.00,106,13,9,5.7,,5.551,SURVIVED,v8_light guard,,,
v8_light,+0.018,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,106,0.471,0.008,12.0,1.00,63,10,0,0.0,,5.551,SURVIVED,v8_light + jab,1,0.70,LLRR
v8_light,-0.018,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,89,0.471,0.008,12.0,1.00,64,4,0,0.0,,5.551,SURVIVED,v8_light + jab,1,0.70,LLRR
v8_light,+0.018,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,89,0.471,0.008,12.0,1.00,64,8,0,0.0,,5.551,SURVIVED,v8_light + jab,1,0.70,LLRR
v8_light,+0.026,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,103,0.471,0.008,12.0,1.00,63,11,0,0.0,,5.551,SURVIVED,v8_light + jab,1,0.70,LLRR
v8_light,-0.018,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,106,0.471,0.008,12.0,1.00,63,6,0,0.0,,5.551,SURVIVED,v8_light + jab,1,0.70,LLRR
v8_light,+0.026,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,92,0.471,0.008,12.0,1.00,64,12,0,0.0,,5.551,SURVIVED,v8_light + jab,1,0.70,LLRR
v8_light,-0.026,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,92,0.471,0.008,12.0,1.00,64,6,0,0.0,,5.551,SURVIVED,v8_light + jab,1,0.70,LLRR
v8_light,-0.026,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,103,0.471,0.008,12.0,1.00,63,8,0,0.0,,5.551,SURVIVED,v8_light + jab,1,0.70,LLRR
v8_light,+0.036,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,93,0.471,0.008,12.0,1.00,64,13,0,0.0,,5.551,SURVIVED,v8_light + jab,1,0.70,LLRR
v8_light,+0.036,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,102,0.471,0.008,12.0,1.00,63,10,0,0.0,,5.551,SURVIVED,v8_light + jab,1,0.70,LLRR
v8_light,-0.036,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,94,0.471,0.008,12.0,1.00,64,8,0,0.0,,5.551,SURVIVED,v8_light + jab,1,0.70,LLRR
v8_light,-0.036,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,102,0.471,0.008,12.0,1.00,63,5,0,0.0,,5.551,SURVIVED,v8_light + jab,1,0.70,LLRR
v8_light,+0.045,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,101,0.471,0.009,12.0,1.00,63,14,0,0.0,,5.551,SURVIVED,v8_light + jab,1,0.70,LLRR
v8_light,+0.045,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,94,0.471,0.008,12.0,1.00,64,12,0,0.0,,5.551,SURVIVED,v8_light + jab,1,0.70,LLRR
v8_light,+0.055,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,100,0.471,0.038,20.6,1.00,112,68,15,6.2,,5.551,SURVIVED,v8_light + jab,1,0.70,LLRR
v8_light,-0.045,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,101,0.471,0.012,12.0,1.00,63,23,0,0.0,,5.551,SURVIVED,v8_light + jab,1,0.70,LLRR
v8_light,-0.045,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,94,0.471,0.010,12.0,1.00,64,20,0,0.0,,5.551,SURVIVED,v8_light + jab,1,0.70,LLRR
v8_light,+0.065,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,23,135,0.396,0.569,227.6,1.01,198,78,139,111.8,14.330,5.551,FELL,v8_light + jab,1,0.70,LLRR
v8_light,+0.055,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,95,0.471,0.019,16.2,1.00,67,50,9,5.9,,5.551,SURVIVED,v8_light + jab,1,0.70,LLRR
