rev,vy,first_swing,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived,cond,MOM,KP_MOM
v6,-0.022,0,5,-0,0.459,0.531,110.8,1.00,125,4,91,353.5,4.385,6.338,FELL,off,,
v6,+0.022,1,5,0,0.458,0.537,99.7,1.00,134,4,92,400.0,4.375,6.338,FELL,off,,
v6,+0.026,1,4,0,0.442,0.536,282.5,1.00,189,2,80,365.8,3.985,6.338,FELL,off,,
v6,+0.026,0,6,0,0.432,0.523,269.8,1.01,175,3,105,392.9,4.995,6.338,FELL,off,,
v6,-0.026,0,4,-0,0.436,0.536,206.7,1.00,138,4,79,366.0,3.960,6.338,FELL,off,,
v6,-0.026,1,6,-0,0.418,0.524,339.7,1.00,175,3,107,392.9,5.035,6.338,FELL,off,,
v6,-0.018,0,40,89,0.465,0.268,15.1,1.00,117,7,500,29.5,,6.338,SURVIVED,off,,
v6,+0.018,1,40,90,0.465,0.277,30.3,1.00,118,8,494,29.8,,6.338,SURVIVED,off,,
v6,+0.018,0,40,105,0.476,0.005,11.5,1.00,63,5,461,21.8,,6.338,SURVIVED,off,,
v6,-0.018,1,40,105,0.476,0.005,11.5,1.00,62,14,463,21.8,,6.338,SURVIVED,off,,
v6,-0.022,1,40,104,0.476,0.005,11.7,1.00,63,9,482,20.8,,6.338,SURVIVED,off,,
v6,+0.022,0,40,104,0.476,0.005,11.7,1.00,63,5,483,21.4,,6.338,SURVIVED,off,,
v6,+0.036,1,5,0,0.432,0.526,261.6,1.00,202,0,92,422.4,4.440,6.338,FELL,off,,
v6,-0.036,0,5,-0,0.428,0.529,257.5,1.00,206,4,100,420.8,4.470,6.338,FELL,off,,
v6,+0.045,0,4,0,0.458,0.537,105.1,1.00,145,2,75,398.2,3.820,6.338,FELL,off,,
v6,+0.045,1,5,0,0.439,0.537,180.8,1.00,202,5,113,478.0,4.385,6.338,FELL,off,,
v6,+0.030,0,40,102,0.476,0.006,11.8,1.00,63,8,542,20.4,,6.338,SURVIVED,off,,
v6,-0.045,1,4,-0,0.445,0.529,197.9,1.00,173,0,76,401.2,3.870,6.338,FELL,off,,
v6,+0.030,1,40,93,0.465,0.263,11.9,1.00,114,10,574,25.3,,6.338,SURVIVED,off,,
v6,-0.045,0,9,320,0.454,0.535,122.3,1.01,148,3,178,707.0,6.610,6.338,FELL,off,,
v6,+0.055,1,5,0,0.436,0.535,210.9,1.00,173,0,103,498.0,4.460,6.338,FELL,off,,
v6,-0.055,0,5,-0,0.448,0.537,102.6,1.00,208,0,99,380.2,4.370,6.338,FELL,off,,
v6,+0.055,0,9,-352,0.423,0.529,351.1,1.00,159,14,212,734.6,6.430,6.338,FELL,off,,
v6,+0.018,0,3,0,0.391,0.553,166.4,1.00,177,41,504,283.2,3.170,6.338,FELL,kp=1,1,1
v6,-0.055,1,9,-347,0.411,0.522,378.9,1.00,146,9,167,423.6,6.405,6.338,FELL,off,,
v6,+0.018,1,3,0,0.413,0.589,271.1,1.00,166,32,483,189.3,3.220,6.338,FELL,kp=1,1,1
v6,-0.018,0,4,-0,0.433,0.547,159.5,1.01,194,30,570,765.9,4.080,6.338,FELL,kp=1,1,1
v6,-0.030,0,40,93,0.465,0.263,11.8,1.00,115,6,580,25.1,,6.338,SURVIVED,off,,
v6,-0.030,1,40,102,0.476,0.006,11.8,1.00,63,9,541,21.0,,6.338,SURVIVED,off,,
v6,+0.022,0,3,0,0.442,0.522,234.6,1.01,140,27,471,498.6,3.265,6.338,FELL,kp=1,1,1
v6,+0.036,0,40,101,0.476,0.005,11.5,1.00,62,9,682,21.5,,6.338,SURVIVED,off,,
v6,-0.018,1,3,-0,0.419,0.537,398.6,1.01,207,20,482,219.6,3.420,6.338,FELL,kp=1,1,1
v6,-0.036,1,40,101,0.476,0.005,11.5,1.00,62,6,681,21.5,,6.338,SURVIVED,off,,
v6,+0.022,1,3,0,0.429,0.522,329.8,1.01,174,25,579,439.9,3.540,6.338,FELL,kp=1,1,1
v6,-0.022,0,3,-0,0.410,0.552,294.1,1.01,179,37,482,166.4,3.180,6.338,FELL,kp=1,1,1
v6,+0.026,0,3,0,0.419,0.565,249.2,1.00,187,38,514,125.9,3.175,6.338,FELL,kp=1,1,1
v6,-0.022,1,3,-0,0.386,0.538,300.8,1.00,195,35,520,264.7,3.265,6.338,FELL,kp=1,1,1
v6,-0.026,1,3,-0,0.381,0.531,253.5,1.00,168,38,469,152.3,3.115,6.338,FELL,kp=1,1,1
v6,+0.026,1,3,0,0.424,0.556,232.0,1.01,193,22,510,253.0,3.280,6.338,FELL,kp=1,1,1
v6,+0.030,0,3,0,0.414,0.521,371.0,1.01,130,34,517,209.0,3.305,6.338,FELL,kp=1,1,1
v6,-0.026,0,3,-0,0.419,0.534,298.0,1.00,178,20,544,618.9,3.520,6.338,FELL,kp=1,1,1
v6,+0.030,1,3,0,0.421,0.529,291.0,1.01,146,25,573,459.4,3.550,6.338,FELL,kp=1,1,1
v6,-0.030,0,5,-0,0.414,0.548,156.4,1.01,162,59,590,501.8,4.410,6.338,FELL,kp=1,1,1
v6,+0.036,1,3,0,0.432,0.523,310.8,1.00,172,39,504,231.9,3.200,6.338,FELL,kp=1,1,1
v6,-0.036,0,3,-0,0.414,0.533,329.0,1.01,189,47,517,200.7,3.245,6.338,FELL,kp=1,1,1
v6,+0.045,0,3,0,0.417,0.546,268.0,1.01,181,28,497,141.1,3.170,6.338,FELL,kp=1,1,1
