rev,vy,first_swing,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived,cond,MOM,KP_MOM
v6,+0.036,0,3,0,0.395,0.527,383.4,1.01,194,23,470,272.2,3.590,6.338,FELL,kp=1,1,1
v6,-0.036,1,4,-0,0.382,0.546,140.2,1.01,172,50,586,1061.6,3.670,6.338,FELL,kp=1,1,1
v6,-0.030,1,5,-0,0.447,0.525,48.2,1.01,179,18,614,1105.5,4.445,6.338,FELL,kp=1,1,1
v6,+0.045,1,5,0,0.417,0.557,200.3,1.01,180,34,586,471.0,4.350,6.338,FELL,kp=1,1,1
v6,-0.045,0,3,-0,0.429,0.520,257.7,1.01,110,20,536,173.1,3.395,6.338,FELL,kp=1,1,1
v6,-0.055,0,3,-0,0.423,0.534,229.6,1.01,120,27,507,123.6,3.125,6.338,FELL,kp=1,1,1
v6,+0.055,0,3,0,0.378,0.562,379.7,1.01,153,25,465,539.2,3.430,6.338,FELL,kp=1,1,1
v6,+0.055,1,3,0,0.402,0.576,345.6,1.00,209,22,517,192.0,3.290,6.338,FELL,kp=1,1,1
v6,-0.055,1,3,-0,0.351,0.530,319.7,1.02,187,33,494,530.8,3.220,6.338,FELL,kp=1,1,1
v6,-0.045,1,5,-0,0.412,0.554,410.2,1.01,201,54,662,1317.6,4.210,6.338,FELL,kp=1,1,1
v6,+0.018,0,3,0,0.419,0.521,273.1,1.01,183,25,552,229.8,3.380,6.338,FELL,kp=3,1,3
v6,+0.022,1,2,0,0.428,0.539,97.1,1.00,186,25,454,171.8,2.965,6.338,FELL,kp=3,1,3
v6,+0.018,1,5,0,0.437,0.537,291.7,1.01,169,24,651,158.9,4.225,6.338,FELL,kp=3,1,3
v6,+0.022,0,3,0,0.406,0.524,175.8,1.01,192,14,495,91.0,3.165,6.338,FELL,kp=3,1,3
v6,-0.018,1,3,-0,0.405,0.530,422.9,1.00,203,11,548,257.6,3.445,6.338,FELL,kp=3,1,3
v6,-0.022,1,2,-0,0.423,0.554,89.9,1.00,181,24,464,175.7,2.925,6.338,FELL,kp=3,1,3
v6,+0.026,0,2,0,0.460,0.521,100.1,1.00,150,27,480,981.8,2.985,6.338,FELL,kp=3,1,3
v6,-0.022,0,3,-0,0.384,0.528,285.1,1.01,189,29,491,211.8,3.455,6.338,FELL,kp=3,1,3
v6,-0.018,0,5,-0,0.435,0.538,245.6,1.01,150,26,704,166.8,4.325,6.338,FELL,kp=3,1,3
v6,-0.026,1,2,-0,0.438,0.530,180.9,1.00,178,11,458,163.4,2.940,6.338,FELL,kp=3,1,3
v6,+0.030,0,2,0,0.433,0.537,92.6,1.01,178,27,474,320.3,2.930,6.338,FELL,kp=3,1,3
v6,+0.026,1,3,0,0.403,0.521,461.0,1.01,172,22,493,550.2,3.490,6.338,FELL,kp=3,1,3
v6,-0.030,1,2,-0,0.438,0.527,126.5,1.01,203,15,466,173.6,2.995,6.338,FELL,kp=3,1,3
v6,-0.026,0,4,-0,0.407,0.524,456.9,1.00,197,26,590,157.3,3.730,6.338,FELL,kp=3,1,3
v6,+0.036,0,2,0,0.430,0.546,64.4,1.00,183,19,484,1028.7,3.035,6.338,FELL,kp=3,1,3
v6,-0.030,0,3,-0,0.418,0.537,158.9,1.00,206,16,484,365.9,3.285,6.338,FELL,kp=3,1,3
v6,+0.030,1,4,0,0.422,0.523,95.9,1.01,177,44,502,288.0,3.705,6.338,FELL,kp=3,1,3
v6,+0.036,1,2,0,0.430,0.526,167.9,1.01,213,17,460,297.9,2.955,6.338,FELL,kp=3,1,3
v6,-0.036,0,2,-0,0.436,0.552,99.1,1.01,193,22,470,176.3,2.915,6.338,FELL,kp=3,1,3
v6,-0.036,1,3,-0,0.436,0.523,71.8,1.01,138,28,474,183.7,3.110,6.338,FELL,kp=3,1,3
v6,+0.045,0,2,0,0.429,0.526,80.6,1.00,193,21,487,242.2,2.980,6.338,FELL,kp=3,1,3
v6,-0.045,0,3,-0,0.441,0.545,328.0,1.01,143,28,501,168.7,3.225,6.338,FELL,kp=3,1,3
v6,+0.045,1,3,0,0.419,0.583,343.4,1.01,207,13,547,217.3,3.445,6.338,FELL,kp=3,1,3
v6,-0.045,1,3,-0,0.404,0.527,418.2,1.01,201,11,548,176.5,3.435,6.338,FELL,kp=3,1,3
v6,+0.055,0,3,0,0.427,0.533,232.5,1.00,207,34,460,1011.6,3.210,6.338,FELL,kp=3,1,3
v6,-0.055,0,2,-0,0.431,0.537,96.4,1.00,188,24,477,447.9,2.990,6.338,FELL,kp=3,1,3
v6,+0.055,1,3,0,0.407,0.535,424.6,1.01,131,9,553,421.2,3.525,6.338,FELL,kp=3,1,3
v6,-0.055,1,3,-0,0.462,0.528,275.6,1.02,163,16,548,334.6,3.610,6.338,FELL,kp=3,1,3
v6,+0.018,0,3,0,0.405,0.522,507.7,1.00,147,18,591,468.4,3.650,6.338,FELL,kp=10,1,10
v6,+0.018,1,3,0,0.410,0.565,317.8,1.01,195,24,524,151.8,3.340,6.338,FELL,kp=10,1,10
v6,-0.018,0,3,-0,0.410,0.572,332.6,1.00,142,19,555,169.1,3.435,6.338,FELL,kp=10,1,10
v6,-0.018,1,3,-0,0.424,0.528,181.3,1.00,159,30,510,777.0,3.170,6.338,FELL,kp=10,1,10
v6,+0.022,0,4,0,0.404,0.538,388.7,1.01,194,51,587,210.2,3.980,6.338,FELL,kp=10,1,10
v6,-0.022,0,2,-0,0.442,0.528,161.2,1.00,205,20,472,134.7,3.090,6.338,FELL,kp=10,1,10
v6,+0.022,1,3,0,0.387,0.531,378.4,1.01,180,17,554,179.6,3.515,6.338,FELL,kp=10,1,10
v6,-0.022,1,3,-0,0.408,0.540,306.6,1.00,199,11,556,201.4,3.515,6.338,FELL,kp=10,1,10
v6,+0.026,0,3,0,0.419,0.529,315.6,1.01,124,17,544,102.9,3.595,6.338,FELL,kp=10,1,10
v6,-0.026,0,3,-0,0.431,0.528,222.6,1.00,192,20,547,361.9,3.520,6.338,FELL,kp=10,1,10
v6,+0.026,1,4,0,0.391,0.545,549.0,1.00,205,19,601,194.8,3.715,6.338,FELL,kp=10,1,10
v6,+0.030,0,4,0,0.445,0.532,72.9,1.00,187,33,601,131.0,4.080,6.338,FELL,kp=10,1,10
v6,-0.026,1,7,452,0.437,0.527,68.3,1.01,120,22,797,329.3,5.605,6.338,FELL,kp=10,1,10
v6,+0.030,1,3,0,0.443,0.522,206.9,1.00,128,16,507,127.8,3.325,6.338,FELL,kp=10,1,10
v6,-0.030,0,4,-0,0.368,0.523,325.0,1.00,171,28,596,374.5,3.720,6.338,FELL,kp=10,1,10
v6,+0.036,1,3,0,0.406,0.533,391.8,1.01,157,22,508,448.7,3.510,6.338,FELL,kp=10,1,10
v6,-0.036,0,4,-0,0.417,0.523,407.4,1.01,156,29,595,207.4,3.730,6.338,FELL,kp=10,1,10
v6,+0.036,0,4,0,0.408,0.543,438.7,1.01,196,15,647,176.9,4.115,6.338,FELL,kp=10,1,10
v6,-0.036,1,3,-0,0.438,0.541,189.9,4.85,206,8,572,156.0,3.525,6.338,FELL,kp=10,1,10
v6,+0.045,0,3,0,0.396,0.524,364.0,1.00,210,31,545,584.6,3.640,6.338,FELL,kp=10,1,10
v6,-0.030,1,9,205,0.438,0.526,89.7,1.01,207,60,797,826.9,6.530,6.338,FELL,kp=10,1,10
v6,+0.045,1,4,0,0.410,0.531,332.8,1.01,173,16,593,155.1,3.825,6.338,FELL,kp=10,1,10
v6,-0.045,0,3,-0,0.351,0.549,263.9,1.00,182,17,537,91.9,3.565,6.338,FELL,kp=10,1,10
v6,+0.055,0,2,0,0.444,0.531,73.1,1.00,127,16,480,130.2,3.060,6.338,FELL,kp=10,1,10
v6,-0.045,1,3,-0,0.390,0.551,365.6,1.00,200,19,546,81.4,3.480,6.338,FELL,kp=10,1,10
v6,+0.055,1,3,0,0.392,0.564,418.0,1.01,204,16,521,250.9,3.425,6.338,FELL,kp=10,1,10
v6,-0.055,0,3,-0,0.405,0.546,143.0,1.00,150,34,505,330.2,3.245,6.338,FELL,kp=10,1,10
v6,-0.055,1,4,-0,0.425,0.527,384.5,1.01,176,8,607,222.0,3.880,6.338,FELL,kp=10,1,10
v6,+0.018,1,4,0,0.448,0.525,84.9,1.00,111,28,540,436.9,4.055,6.338,FELL,kp=30,1,30
v6,-0.018,0,5,-0,0.456,0.520,87.5,1.02,194,4,662,469.6,4.650,6.338,FELL,kp=30,1,30
v6,+0.018,0,6,0,0.447,0.523,110.0,1.01,122,42,741,1148.0,5.070,6.338,FELL,kp=30,1,30
v6,-0.018,1,5,-0,0.415,0.523,97.4,1.01,180,47,626,1124.7,4.270,6.338,FELL,kp=30,1,30
v6,+0.022,1,5,0,0.437,0.530,257.7,1.00,201,21,601,436.2,4.500,6.338,FELL,kp=30,1,30
v6,+0.022,0,7,556,0.447,0.543,221.2,1.26,168,31,728,1103.9,5.670,6.338,FELL,kp=30,1,30
v6,-0.022,1,3,-0,0.418,0.533,129.1,1.01,170,46,576,1127.4,3.615,6.338,FELL,kp=30,1,30
v6,-0.022,0,8,285,0.402,0.558,366.0,1.00,150,39,959,436.5,5.870,6.338,FELL,kp=30,1,30
v6,+0.026,1,3,0,0.430,0.525,94.1,1.01,183,33,608,1040.4,3.605,6.338,FELL,kp=30,1,30
v6,-0.026,0,3,-0,0.440,0.543,88.4,1.01,199,30,562,739.2,3.580,6.338,FELL,kp=30,1,30
v6,+0.026,0,8,-216,0.412,0.541,334.1,1.01,188,57,1004,1068.9,6.215,6.338,FELL,kp=30,1,30
v6,+0.030,0,5,0,0.405,0.526,242.7,1.01,187,41,587,1137.8,4.340,6.338,FELL,kp=30,1,30
v6,+0.030,1,3,0,0.444,0.534,75.0,1.00,178,13,560,809.1,3.535,6.338,FELL,kp=30,1,30
v6,-0.026,1,7,-926,0.451,0.532,110.8,1.01,151,32,792,626.5,5.505,6.338,FELL,kp=30,1,30
v6,-0.030,0,3,-0,0.430,0.522,132.2,1.01,147,26,573,1167.4,3.540,6.338,FELL,kp=30,1,30
v6,-0.030,1,4,-0,0.422,0.527,76.4,1.00,115,34,564,1107.1,3.655,6.338,FELL,kp=30,1,30
v6,+0.036,0,4,0,0.385,0.532,260.3,1.01,190,18,548,1156.9,3.775,6.338,FELL,kp=30,1,30
v6,+0.036,1,4,0,0.439,0.521,256.4,1.01,184,16,685,839.5,4.185,6.338,FELL,kp=30,1,30
v6,-0.036,0,3,-0,0.432,0.533,122.7,1.01,176,31,581,836.9,3.645,6.338,FELL,kp=30,1,30
v6,+0.045,0,3,0,0.433,0.529,65.8,1.01,138,37,564,736.8,3.470,6.338,FELL,kp=30,1,30
v6,+0.045,1,3,0,0.433,0.523,115.1,1.01,133,36,577,1040.9,3.555,6.338,FELL,kp=30,1,30
v6,-0.036,1,7,1246,0.431,0.540,216.2,1.01,120,33,761,1083.2,5.755,6.338,FELL,kp=30,1,30
v6,-0.045,0,6,-0,0.435,0.527,234.2,1.01,195,33,743,1171.1,5.250,6.338,FELL,kp=30,1,30
v6,+0.055,0,5,0,0.439,0.530,292.5,1.01,167,31,601,664.4,4.270,6.338,FELL,kp=30,1,30
v6,+0.055,1,5,0,0.443,0.522,61.9,1.01,110,31,659,748.3,4.635,6.338,FELL,kp=30,1,30
v6,-0.045,1,9,149,0.413,0.524,378.9,1.01,226,76,848,1037.7,6.505,6.338,FELL,kp=30,1,30
v6,-0.055,1,5,-0,0.418,0.521,258.6,1.01,175,74,612,1056.2,4.505,6.338,FELL,kp=30,1,30
v6,-0.055,0,8,75,0.418,0.528,174.5,1.01,183,22,845,560.7,6.080,6.338,FELL,kp=30,1,30
